"转让人","受让人","申请人地区","受让人地址","转让人省份","受让人省份"
"浙江工业大学; 广东高航知识产权运营有限公司; 广州市丰申网络科技有限公司","广东高航知识产权运营有限公司; 广州市丰申网络科技有限公司; 广州坤川网络科技有限公司","浙江","510000 广东省广州市天河区五山路371号之一主楼2414-2416单元; 510000 广东省广州市天河区金穗路1号3301房-3302房; 510000 广东省广州市天河区燕岭路89号4楼499室自编134号(仅限办公)","浙江","51"
"北京智能果技术有限公司; 郑州坤博科技有限公司; 许冰","郑州坤博科技有限公司; 许冰; 山东博超电力工程有限公司","北京","450000 河南省郑州市金水区文化路硅谷广场A座1703; 241000 安徽省芜湖市镜湖区黄山东路绿地新都会B座903室; 253000 山东省德州市禹城市国家高新技术产业开发区工业南路8号(盛丰工程施工公司三楼、四楼)","北京","45"
"北京智能果技术有限公司; 郑州坤博科技有限公司; 许冰","郑州坤博科技有限公司; 许冰; 徐加庆","北京","450000 河南省郑州市金水区文化路硅谷广场A座1703; 241000 安徽省芜湖市镜湖区黄山东路绿地新都会B座903室; 210002 江苏省南京市秦淮区西华门东村4幢205室","北京","45"
"上海斐讯数据通信技术有限公司; 杭州吉吉知识产权运营有限公司; 湖州爱迪电气有限公司","杭州吉吉知识产权运营有限公司; 湖州爱迪电气有限公司; 北京凤凰师轩文化发展有限公司","上海","310000 浙江省杭州市滨江区西兴街道江淑路260号10242室; 313023 浙江省湖州市吴兴区埭溪镇上强路; 100000 北京市海淀区北三环西路32号楼10层1001","上海","31"
"武汉云空间地理信息技术有限公司","武汉纵横天地空间信息技术有限公司","湖北","430000 湖北省武汉市武昌区和平大道1004号杨园教育科技创业园5号楼4楼408室","湖北","43"
"武汉鹰视智能科技有限公司","阳光学院","湖北","350015 福建省福州市经济技术开发区登龙路99号","湖北","35"
"北京智付融汇科技有限公司; 蚌埠立超信息科技有限公司","蚌埠立超信息科技有限公司; 新格云信科技有限公司","北京","233000 安徽省蚌埠市燕山路8319号(上理大科技园6号302室); 510000 广东省广州市天河区天河北路626号901房(仅限办公用途)","北京","23"
"深圳市众投邦股份有限公司","深圳市前海众惠天下网络科技有限公司","广东","518000 广东省深圳市前海深港合作区前湾一路1号A栋201室(入驻深圳市前海商务秘书有限公司)","广东","51"
"罗向阳; 丁世昌; 丁岚","中国人民解放军战略支援部队信息工程大学","河南","450001 河南省郑州市高新区科学大道62号","河南","45"
"北京金山云网络技术有限公司; 北京金山云科技有限公司","珠海金山云科技有限公司; 北京金山云网络技术有限公司","北京","519015 广东省珠海市吉大景山路莲山巷8号10楼B区2室","北京","51"
"青岛中星微电子有限公司","南京西觉硕信息科技有限公司","山东","211500 江苏省南京市江北新区星火路17号创智大厦B座616室","山东","21"
"青岛大学","广西昊华科技股份有限公司","山东","530213 广西壮族自治区南宁市青秀区朱瑾路10号南宁东盟商务区新加坡园逸墅公馆B单元302号房","山东","53"
"徐州工程学院; 江苏华商优才服务外包有限公司","江苏华商优才服务外包有限公司; 广州市倍尔康医疗器械有限公司","江苏","221000 江苏省徐州市沛县鹿楼镇金鹿大道1-52号; 510000 广东省广州市南沙区大岗镇环镇西路38号(生产大楼1)","江苏","22"
"上海斐讯数据通信技术有限公司; 沈双荔; 杭州吉吉知识产权运营有限公司","杭州吉吉知识产权运营有限公司; 湖州帷幄知识产权运营有限公司; 沈双荔","上海","310000 浙江省杭州市滨江区西兴街道江淑路260号10242室; 313000 浙江省湖州市吴兴区爱山街道新天地商务写字楼1019室; 210000 江苏省南京市鼓楼区湖南路街道马台街70号新联创意园","上海","31"
"扬智科技股份有限公司; 扬智电子科技(中国)有限公司","扬智电子科技(中国)有限公司; 扬智电子科技(成都)有限公司","台湾","广东省深圳市南山区科技园北区朗山路13号紫光信息港A座206; 610095 四川省成都市中国(四川)自由贸易试验区成都高新区吉庆三路333号1栋三单元2702","台湾","广东"
"武汉改图网技术有限公司","武汉都印科技有限公司","湖北","430070 湖北省武汉市洪山区书城路26号嗅钛工坊B栋一层113室内工位(113-7)","湖北","43"
"北京博创兴盛科技有限公司","北京博创联动科技有限公司","北京","100085 北京市海淀区上地信息路18号1层1001室","北京","10"
"厦门喜鱼网络科技有限公司","厦门翼逗网络科技有限公司","福建","361000 福建省厦门市厦门火炬高新区软件园创新大厦C区3F-A652","福建","36"
"杭州吉吉知识产权运营有限公司; 湖州帷幄知识产权运营有限公司; 蚌埠叁零玖科技咨询有限公司; 上海斐讯数据通信技术有限公司","蚌埠叁零玖科技咨询有限公司; 陕西蓝鹰航空技术发展有限公司; 湖州帷幄知识产权运营有限公司; 杭州吉吉知识产权运营有限公司","上海","233000 安徽省蚌埠市龙子湖区凤阳西路东安市场3楼; 710000 陕西省西安市高新区高新四路15号1幢1单元1602B; 313001 浙江省湖州市吴兴区爱山街道新天地写字楼1019室; 310000 浙江省杭州市滨江区西兴街道江淑路260号10242室","上海","23"
"成都力合智远信息技术有限公司; 徐禄勇","成都皓智慧信息技术有限公司","四川","610000 四川省成都市高新区天晖中街56号1幢15层5号","四川","61"
"华为技术有限公司; 深圳尚格知识产权服务有限公司; 陶鹏; 北京花旺在线商贸有限公司; 重庆紫腾文化科技有限公司","深圳尚格知识产权服务有限公司; 北京花旺在线商贸有限公司; 重庆紫腾文化科技有限公司; 陶鹏; 重庆凯乐德科技有限公司","北京","518000 广东省深圳市宝安区新安街道前进一路269号诺铂广场625室; 100000 北京市朝阳区广渠路17号院1号楼-3至14层101内8层801、802室; 402760 重庆市璧山区璧泉街道泉山路19号秀湖水街6幢6113-6116号; 402460 重庆市荣昌区东益当街1号附6号; 402760 重庆市璧山区璧泉街道泉山路19号秀湖水街6幢6113-6116号办公空间6组团03号","北京","51"
"杭州电子科技大学; 嘉兴宝刳机械科技有限公司; 浙江知多多网络科技有限公司","浙江知多多网络科技有限公司; 嘉兴宝刳机械科技有限公司","浙江","310016 浙江省杭州市江干区高德置地中心1号楼3003室-1; 311100 浙江省杭州市余杭区仓前街道海创科技中心2号楼4层407-10室; 314500 浙江省嘉兴市桐乡市梧桐街道振兴东路(东)55号桐乡市商会大厦1单元1702、1703室-A-218","浙江","31"
"深圳鹏渤信息科技有限公司; 河海大学常州校区; 蚌埠启邦科技信息咨询有限公司","蚌埠启邦科技信息咨询有限公司; 深圳鹏渤信息科技有限公司; 泰安泰山科技有限公司","江苏","233000 安徽省蚌埠市龙子湖区东升街道新淮路祥和家园一层9号; 518109 广东省深圳市龙华区龙华街道清华社区清龙路6号港之龙科技园商务中心A、B栋B栋8层808; 271000 山东省泰安市高新区龙泉路279号","江苏","23"
"太原理工大学","山西晋鑫仁和人力资源管理有限公司","山西","030006 山西省太原市小店区长风街131号华德中心广场A座1706室","山西","03"
"重庆飞洲光电技术研究院","重庆远舟医疗科技有限公司","重庆","400000 重庆市江北区港城东环路5号7幢5-2","重庆","40"
"刘粉林; 罗向阳","中国人民解放军战略支援部队信息工程大学","河南","450001 河南省郑州市高新区科学大道62号","河南","45"
"湖南工业大学; 钱竞叶; 吴永淇","吴永淇; 南京中智谷存储技术有限公司; 钱竞叶","湖南","529444 广东省江门市恩平市牛江镇岭南村民委员会龙岗村八巷12号; 210000 江苏省南京市浦口区研创园孵鹰大厦A2-513室; 210011 江苏省南京市鼓楼区马台街32号501室","湖南","52"
"中铁大桥科学研究院有限公司; 中铁大桥局集团有限公司","中铁桥研科技有限公司; 中铁大桥局集团有限公司; 中铁大桥科学研究院有限公司","湖北","430000 湖北省武汉市硚口区汉西路29号","湖北","43"
"上海斐讯数据通信技术有限公司; 杭州吉吉知识产权运营有限公司; 湖州帷幄知识产权运营有限公司; 蚌埠立超信息科技有限公司","杭州吉吉知识产权运营有限公司; 蚌埠立超信息科技有限公司; 深圳国芯人工智能有限公司; 湖州帷幄知识产权运营有限公司","上海","310000 浙江省杭州市滨江区西兴街道江淑路260号10242室; 233000 安徽省蚌埠市燕山路8319号(上理工科技园6号302室); 518000 广东省深圳市前海深港合作区前湾一路1号A栋201室(入驻深圳市前海商务秘书有限公司); 313000 浙江省湖州市吴兴区爱山街道新天地商务写字楼1019室","上海","31"
