转让人,受让人,地理邻近,技术相似,关系存在
西北工业大学; 湖州奥利金高性能计算技术有限公司,湖州奥利金高性能计算机技术有限公司; 杭州奥利金并行计算技术有限公司,0,1.0,1
北京视频方特科技开发有限公司,北京瀚华凯捷技术开发有限公司,0,1.0,1
希尔德科股份有限公司,霍尼维尔股份有限公司,0,1.0,1
桑纳拉斯麦脱信托有限公司; 德国捷德有限公司; 斯麦脱信托系统有限公司,斯麦脱信托系统有限公司; 捷佳德移动安全有限公司; 德国捷德有限公司,0,1.0,1
DSPC以色列有限公司,DSPC技术有限公司,0,1.0,1
株式会社新世纪通信,SK泰力康姆株式会社,0,1.0,1
真实立体公司,英特尔公司,0,0.01,1
RTO控股有限公司,普拉斯服装有限公司,0,1.0,1
三菱电机株式会社,恩益禧三菱电机视讯有限公司,0,0.0,1
迅利科技股份有限公司,厦门资盛科技发展有限公司,0,1.0,1
巨龙信息技术有限责任公司,北京亿阳巨龙智能网技术有限公司,0,1.0,1
宏碁电脑股份有限公司,宏碁电脑股份有限公司; 纬创资通股份有限公司,0,0.0625,1
株式会社次世代情报放送系统研究所; 株式会社理光,株式会社理光,1,0.3333333333333333,1
王凌霄; 科胜讯系统有限责任公司; 克雷格·巴兰克张荣峰; 扎尔林克半导体V.N.股份有限公司; 莱克斯坦塞米有限公司,扎尔林克半导体V.N.股份有限公司; 西纳铁克斯股份有限公司; 科胜讯系统公司,1,1.0,1
株式会社奥普特罗姆,金世纪国际有限公司,0,1.0,1
陶氏化学公司,陶氏环球技术公司,0,1.0,1
敦晖科技股份有限公司,敦南科技股份有限公司,1,1.0,1
腾研科技股份有限公司,群鼎视讯科技股份有限公司,0,0.4,1
三洋电机株式会社,富士电机株式会社,0,0.3333333333333333,1
杭州宏软计算机通信技术有限公司,王强宇,0,1.0,1
马科尼通讯有限公司; 马科尼英国知识产权有限公司; M(DGP1)有限公司,马科尼英国知识产权有限公司; M(DGP1)有限公司; 爱立信股份有限公司,0,1.0,1
马科尼通讯有限公司; M(DGP1)有限公司; 马科尼英国知识产权有限公司,马科尼英国知识产权有限公司; 爱立信有限公司; M(DGP1)有限公司,0,0.3333333333333333,1
黄宗炤; 黄宗炯,广州黄码软件科技有限公司; 黄宗炤,0,1.0,1
北京晓军办公设备有限公司,唐亚伟,0,1.0,1
普达寇有限责任公司; 艾鲁奈克斯IP控股有限公司; 艾鲁奈克斯技术公司,英普罗II特许有限公司; 普达寇有限责任公司; 艾鲁奈克斯IP控股有限公司,0,1.0,1
大宇电子株式会社; 株式会社大宇电子,株式会社大宇电子; 枫叶视野技术公司,0,1.0,1
哈里公司,特尔特罗尼克斯公司,0,0.25,1
大宇电子株式会社,株式会社大宇电子,1,1.0,1
旭化成株式会社; 旭化成工业株式会社,古荘纯次; 旭化成株式会社,0,1.0,1
