"转让人","受让人","IPC分类号","申请人地区","受让人地址","转让人省份","受让人省份"
"北京百度网讯科技有限公司","广州鼎航信息技术服务有限公司","G06V40/16; G06V10/74; G06V10/774","广东","510000 广东省广州市南沙区丰泽东路106号","广东","51"
"纽昂斯通讯公司","微软技术许可有限责任公司","G10L15/30","美国","美国华盛顿州","美国","美国"
"泰州市康平医疗科技有限公司","六安同辉智能科技有限公司","G06K9/62; G06K9/46; G06K9/52; A47B61/00","安徽","237000 安徽省六安市六安经济技术开发区新加坡御苑12号楼105室","安徽","23"
"惠州TCL移动通信有限公司","佛山市润千宇知识产权服务有限公司","G06F21/31","广东","528000 广东省佛山市禅城区祖庙街道福宁路213号一座写字楼2103室G001","广东","52"
"北京拓思德科技有限公司; 田雪松","田雪松; 北京拓思德科技有限公司; 北京奇禄管理咨询有限公司","G06F16/22; G06F16/23; G06Q50/20; H04L29/06","北京","100012 北京市朝阳区北苑家园绣菊园5楼4单元701号; 100083 北京市海淀区花园东路10号高德大厦十一层1108号; 100044 北京市海淀区中关村大街18号8层04-758","北京","10"
"东北大学","北京理工大学","G06F17/30","辽宁","100081 北京市海淀区中关村南大街5号","辽宁","10"
"出门问问信息科技有限公司","北京羽扇智信息科技有限公司","G06F40/289; G06F40/242; G06F40/216","北京","100000 北京市海淀区高粱桥斜街42号院1号楼-1层-101","北京","10"
"西南科技大学","西南交通大学","G06Q10/06","四川","611756 四川省成都市高新区西部园区西南交通大学","四川","61"
"杭州电子科技大学","深圳万知达科技有限公司","H04L12/727; H04W4/80; H04W4/38; H04W24/02; H04W40/12; H04W40/18; H04W40/24; H04L12/751; H04L45/121; H04L45/02","浙江","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1002","浙江","51"
"卡西欧计算机株式会社","北京小米移动软件有限公司","G06F17/30; H04N1/21; G06T1/00; G06F12/00; G06T11/60; H04N5/225; H04N5/76; H04N5/907; H04N5/91; H04N101/00","日本","100080 北京市海淀区清河中街68号华润五彩城购物中心二期9层01房间","日本","10"
"诺基亚技术有限公司","起源资产集团有限责任公司","G06F1/32; H04W4/80; H04W76/18","芬兰","美国纽约州","芬兰","美国"
"河南城建学院","广州大鱼创福科技有限公司","G06Q30/02; G06F16/25; G06F16/951; G06F21/60; G06F9/451","河南","510530 广东省广州市黄埔区科丰路85号801房","河南","51"
"陈龙","浙江清客云网络科技有限公司","G06F1/16","广东","322100 浙江省金华市东阳市江北街道猴塘社区广福东街23号总部中心G区B幢西座2102室","广东","32"
"LG电子株式会社","高通股份有限公司","H04L1/00; H04L5/00; H04W72/14","韩国","美国加利福尼亚","韩国","美国"
"重庆大学","罗普特(厦门)科技集团有限公司","G06K9/46; G06K9/66","重庆","361100 福建省厦门市翔安区厦门火炬高新区(翔安)产业区翔岳路69号东南三层","重庆","36"
"惠州TCL移动通信有限公司","深圳传音控股股份有限公司","G06F9/445; H04M1/725; H04M1/72448","广东","518057 广东省深圳市南山区粤海街道深南大道9789号德赛科技大厦标识层17层(自然层15层)1702-1703号","广东","51"
"歌尔股份有限公司","歌尔光学科技有限公司","G06T7/00; G06T7/70; H04N5/247; H04N23/90","山东","261031 山东省潍坊市高新区东明路以东玉清街以北(歌尔电子办公楼502室)","山东","26"
"重庆邮电大学","南方电网互联网服务有限公司","G06F40/289; G06F16/33","重庆","510000 广东省广州市越秀区东风东路757号大院办公综合楼606-609房(不可作厂房使用)","重庆","51"
"重庆大学","山东科技大学","G06F30/20; G06F119/14","重庆","266590 山东省青岛市黄岛区前湾港路579号","重庆","26"
"阿里巴巴集团控股有限公司","创新先进技术有限公司","H04L9/32","开曼群岛","开曼群岛大开曼岛西湾路802号木槿街大展览馆31119号邮箱","开曼","开曼"
"松下电器产业株式会社","松下知识产权经营株式会社","G06F12/00; G06F13/16; G06F13/36","日本","日本国大阪府","日本","日本"
"歌尔光学科技有限公司","歌尔股份有限公司","G06F3/01; G06F3/0487; G06F21/32; G06T17/00","山东","261031 山东省潍坊市高新技术产业开发区东方路268号","山东","26"
"河南大学","南方电网互联网服务有限公司","H04L9/32; H04L9/06; H04L29/08","河南","510062 广东省广州市越秀区东风东路757号大院办公综合楼606-609房","河南","51"
"中国地质大学(北京)","中国石油大学(华东)","G06F17/50; G06T17/05","山东","266580 山东省青岛市黄岛区长江西路66号","山东","26"
"苏州天鸣信息科技有限公司","广东高航知识产权运营有限公司","G06F3/0487","江苏","510640 广东省广州市天河区五山路中公教育大厦371-1号2401单元","江苏","51"
"北京邮电大学","北京智谷技术服务有限公司","H04L29/08","北京","100085 北京市海淀区小营西路33号1层1F06室","北京","10"
"重庆邮电大学","北京东土科技股份有限公司","H04L29/06","重庆","100000 北京市石景山区实兴大街30号院2号楼8层901","重庆","10"
"浪潮软件集团有限公司","浪潮云信息技术股份公司","G06F16/11; G06F16/182; G06F11/14","山东","250100 山东省济南市高新区浪潮路1036号浪潮科技园S01号楼","山东","25"
"美国西门子医疗解决公司","西门子保健有限责任公司","A61B5/0402; A61B19/00; G06F19/00","美国","德国埃朗根市","美国","德国"
"哈尔滨理工大学","黑龙江科技大学","G06T7/40","黑龙江","150022 黑龙江省哈尔滨市松北区浦源路2468号","黑龙","15"
"郑州航空工业管理学院","合肥智慧龙机械设计有限公司","G06F1/20; G06F1/18; B01D46/10; B08B17/02; B08B17/04","河南","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1018","河南","23"
"厦门美图移动科技有限公司","芜湖中浦智能装备有限公司","G06F11/36","福建","241000 安徽省芜湖市芜湖经济技术开发区万春街道纬二次路36号","福建","24"
"樊馨","江苏永鼎通信有限公司","G06Q30/06; G06Q30/02; G06Q10/08","江苏","215212 江苏省苏州市吴江区黎里镇越秀路888号","江苏","21"
"努比亚技术有限公司","憨猴科技集团有限公司","G06F11/07; G06F11/34","广东","100071 北京市丰台区南四环西路186号四区4号楼8层15室","广东","10"
"光宝科技股份有限公司","纬创资通股份有限公司","H04L12/28; H04L29/02; H04B7/00","台湾","中国台湾台北县","台湾","中国"
"浪潮通信技术有限公司","浪潮软件科技有限公司","G06F9/50; G06F9/48","山东","250100 山东省济南市高新区浪潮路1036号浪潮科技园S02号楼","山东","25"
"摩托罗拉公司","纽昂斯通讯公司","G06F17/28; G06F17/00; G10L13/06; G10L13/10","美国","美国马萨诸塞州","美国","美国"
"王杰","广州大学","G06F3/01","广东","510006 广东省广州市广州大学城外环西路230号","广东","51"
"中南大学","龙图腾网科技(合肥)股份有限公司","G06Q10/0639; G06Q50/00; G06N3/0442","湖南","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","湖南","23"
"浪潮电子信息产业股份有限公司","郑州云海信息技术有限公司","G06F1/16","河南","450000 河南省郑州市郑东新区心怡路278号16层1601室","河南","45"
"吉林大学","湖北华中电力科技开发有限责任公司","H04L67/10; H04L41/0894; H04L41/14; H04L47/78; G06N20/00","吉林","430000 湖北省武汉市洪山区珞瑜路546号","吉林","43"
"华为技术有限公司","深圳天珑无线科技有限公司","H04L12/40; H04L12/24; H04L12/26","广东","518053 广东省深圳市南山区香山东街1号华侨城东部工业区H-3栋4楼501B","广东","51"
"华东师范大学","复旦大学","G06Q10/04; G06Q50/30","上海","200433 上海市杨浦区邯郸路220号","上海","20"
"三洋电机株式会社","松下电器(美国)知识产权公司","H04L12/56; G06F15/00; G06F13/00; G06F21/10; G06F21/62; G06Q50/00; G06Q50/10; H04L12/58; H04L29/06; H04L29/08; H04M3/487; H04M3/493; H04M3/53; H04M11/08; H04W4/12","日本","美国加利福尼亚州","日本","美国"
"深圳大图科创技术开发有限公司","上海工业控制安全创新科技有限公司","G08G1/0967","上海","200333 上海市普陀区云岭西路600弄6号901室","上海","20"
"中国地质大学(北京)","憨猴科技集团有限公司","G16H40/63; G06N3/126; G06N3/04","北京","100071 北京市丰台区南四环西路186号四区4号楼8层15室","北京","10"
"日本电气株式会社","苹果公司","H04L9/32; G06F12/14; G06F12/00; G06F13/00; G06F17/30; G06F21/10; G06F21/60; G06F21/62; H04H1/00","日本","美国加利福尼亚州","日本","美国"
"中国科学院深圳先进技术研究院","华为技术有限公司","H04L29/08","广东","518129 广东省深圳市龙岗区坂田华为总部办公楼","广东","51"
"山东汇贸电子口岸有限公司","浪潮云信息技术股份公司","H04L12/24","山东","250100 山东省济南市高新区浪潮路1036号浪潮科技园S01号楼","山东","25"
"吴昊","南京交通职业技术学院","H04L29/08; H04L29/06","江西","江苏南京科学园龙眠大道629号","江西","江苏"
"电子科技大学中山学院","广州鼎航信息技术服务有限公司","G06K9/32; G06K9/62","广东","510000 广东省广州市南沙区丰泽东路106号","广东","51"
"建信金融科技有限责任公司","中国建设银行股份有限公司","H04L9/08; H04L9/06; H04L67/10; G06F16/27; G06F21/60","北京","100033 北京市西城区金融大街25号","北京","10"
"长安大学","西安航空学院","G06F18/2413; G06F18/2323; G06F18/22; G06Q10/20; G06Q50/08","陕西","710077 陕西省西安市西二环259号","陕西","71"
"青海大学","天津大学","G06F17/50; G06T17/05; G06T17/20","青海","301700 天津市武清区雍阳西道83号","青海","30"
"广州知弘科技有限公司","城云科技(中国)有限公司","G06F16/332; G06F16/35; G06F9/48; G06F40/289; G06F40/30","浙江","310052 浙江省杭州市滨江区长河街道江南大道588号恒鑫大厦主楼17层、18层","浙江","31"
"华为数字技术(成都)有限公司; 华为技术有限公司","华为技术有限公司; 超聚变数字技术有限公司","G06F3/06; G06F11/16","四川","518129 广东省深圳市龙岗区坂田华为总部办公楼; 450046 河南省郑州市郑东新区龙子湖智慧岛正商博雅广场1号楼9层","四川","51"
"秒针信息技术有限公司","上海明胜品智人工智能科技有限公司","G10L17/00; G10L17/02; G10L17/04; G06Q10/10","上海","200232 上海市徐汇区龙兰路277号2号楼5楼5B06单元","上海","20"
"盐城工学院","芽米科技(广州)有限公司","G06Q10/10; G06Q50/08; G06T17/05","江苏","510530 广东省广州市黄埔区科丰路85号801房","江苏","51"
"浪潮软件集团有限公司","浪潮卓数大数据产业发展有限公司","G06F9/50","江苏","214029 江苏省无锡市滨湖区高浪东路999号(软件研发大厦)707","江苏","21"
"松下知识产权经营株式会社","松下电器(美国)知识产权公司","H04L12/28","美国","美国加利福尼亚州","美国","美国"
"重庆交通大学","龙图腾网科技(合肥)股份有限公司","G06F30/20; E02D17/20; G06F111/10; G06F119/14","重庆","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","重庆","23"
