"转让人","受让人","IPC分类号","申请人地区","受让人地址","转让人省份","受让人省份"
"松下电器产业株式会社","知识产权之桥一号有限责任公司","H04L27/26; H04L1/04; H04J11/00; H04L1/18","日本","日本东京都","日本","日本"
"欧芬诺有限责任公司","三星电子株式会社","H04L5/00; H04W72/12; H04W72/14; H04W74/04; H04W52/14; H04W76/28; H04W28/02","韩国","韩国京畿道","韩国","韩国"
"京信通信技术(广州)有限公司","京信通信系统(中国)有限公司; 京信通信系统(广州)有限公司; 京信通信技术(广州)有限公司; 天津京信通信系统有限公司","H04L1/16","广东","510663 广东省广州市经济技术开发区广州科学城神舟路10号","广东","51"
"重庆大学","成都希盟泰克科技发展有限公司","H04L1/16; H04L1/18; H04L29/06","四川","610041 四川省成都市高新区世纪城南路216号D5栋9层","四川","61"
"浪潮云信息技术股份公司","浪潮软件集团有限公司","G06F21/64; G06F21/60","山东","250000 山东省济南市高新区浪潮路1036号S02楼","山东","25"
"成都信息工程大学","深圳万知达科技有限公司","G06V20/40; G06V10/40; G06V10/74; G06V10/77","四川","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1002","四川","51"
"深圳艺达文化传媒有限公司","南京硅基智能科技有限公司","G06T3/00; G06T7/62; G06T7/90; G06K9/00","江苏","210000 江苏省南京市雨花台区凤信路20号万博科技园C号楼4层","江苏","21"
"杭州电子科技大学","龙图腾网科技(合肥)股份有限公司","G06F9/48","浙江","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","浙江","23"
"西安理工大学","深圳万知达科技有限公司","G06F16/28; G06F16/245","陕西","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1002","陕西","51"
"展讯通信(上海)有限公司; 芯鑫融资租赁(北京)有限责任公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁有限责任公司","芯鑫融资租赁(厦门)有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁(北京)有限责任公司; 芯鑫融资租赁有限责任公司","H04L1/00; H04W72/12","上海","361012 福建省厦门市中国(福建)自由贸易试验区厦门片区象屿路97号厦门国际航运中心D栋8层05单元; 201203 上海市浦东新区中国(上海)自由贸易试验区祖冲之路2288; 201203 上海市浦东新区张江高科技园区祖冲之路2288弄展讯中心1号楼; 100033 北京市西城区金融街乙9号威斯汀行政公寓2062室; 200127 中国(上海)自由贸易试验区张杨路707号32楼3205F室","上海","36"
"王龙","和宇健康科技股份有限公司","G06F16/16; G06F16/13; G06F21/60; G06F21/62","广东","510627 广东省广州市天河区海安路13号之一2003、1801、1804房","广东","51"
"中兴通讯股份有限公司","江苏永鼎通信有限公司","H04L29/10","广东","215000 江苏省苏州市吴江区黎里镇越秀路888号","广东","21"
"江南大学","龙图腾网科技(合肥)股份有限公司","G06F30/20; G06Q10/04; G06N3/08; G01D21/02; B01D53/86","江苏","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","江苏","23"
"上海斐讯数据通信技术有限公司","江西山水光电科技股份有限公司","H04L29/08; H04L29/06","江西","332000 江西省九江市濂溪区生态工业城平安路1010号","江西","33"
"华东交通大学","广州大鱼创福科技有限公司","G06Q10/02; G06Q10/0631; G06Q50/30","江西","510530 广东省广州市黄埔区科丰路85号801房","江西","51"
"平安普惠企业管理有限公司","武汉安辰鑫信息科技有限公司","G06F9/50; G06F9/48","湖北","430000 湖北省武汉市东湖新技术开发区光谷大道58号关南福星医药园1栋27层05室(自贸区武汉片区)","湖北","43"
"环旭电子股份有限公司","环胜电子(深圳)有限公司","G06F1/32; H04L12/24","上海","518057 广东省深圳市南山区高新技术园北区环旭电子园","上海","51"
"株式会社日立制作所","谷歌公司","G06F3/06; G06F9/445; G06F12/00; G06F12/02; G06F12/08; G06F13/00; G06F13/38","日本","美国加利福尼亚州","日本","美国"
"北京百度网讯科技有限公司","上海兆言网络科技有限公司","G06T5/30; G06T5/60; G06N3/0464; G06N3/08","上海","200000 上海市杨浦区伟成路62号501、502、503、504室","上海","20"
"陕西师范大学","深圳万知达科技有限公司","G06F16/9535; G06F16/36; G06N3/04; G06N3/08","陕西","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1002","陕西","51"
"惠普发展公司, 有限责任合伙企业","瑞典爱立信有限公司","G06F3/041","瑞典","瑞典斯德哥尔摩","瑞典","瑞典"
"重庆邮电大学; 龙图腾网科技(合肥)股份有限公司","龙图腾网科技(合肥)股份有限公司; 合肥九州龙腾科技成果转化有限公司","G06K9/00","重庆","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼; 230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼203","重庆","23"
"深圳市华讯方舟光电技术有限公司","深圳市重投华讯太赫兹科技有限公司","G06F1/18; G06F1/20","广东","518100 广东省深圳市宝安区西乡街道宝田一路臣田工业区第37栋430室","广东","51"
"歌尔光学科技有限公司; 歌尔科技有限公司","歌尔科技有限公司; 歌尔光学科技有限公司","G06F3/01","山东","266104 山东省青岛市崂山区松岭路500号; 261031 山东省潍坊市潍坊高新区东明路以东玉清东街以北(歌尔电子办公楼502室)","山东","26"
"百度在线网络技术(北京)有限公司","北京百度网讯科技有限公司","H04L12/26; H04L12/56; H04L29/06; H04L12/46","北京","100085 北京市海淀区上地十街10号百度大厦2层","北京","10"
"徐州工业职业技术学院","合肥名龙电子科技有限公司","G06F1/20; G06F1/30; H02M1/00; H02J7/00; H02J9/06","江苏","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","江苏","23"
"飞思卡尔半导体公司","苹果公司","H04L1/02; H04B7/02","美国","美国加利福尼亚","美国","美国"
"北京奇虎科技有限公司; 奇智软件(北京)有限公司","北京奇安信科技有限公司","H04L29/06; H04L29/08","北京","100015 北京市朝阳区酒仙桥路甲10号3号楼15层17层1701-26","北京","10"
"苏州天趣信息科技有限公司","河南大学","G06F3/0488","河南","475001 河南省开封市龙亭区明伦街85号","河南","47"
"四川九成信息技术有限公司","福州环亚众志计算机有限公司","H04L29/06; H04L29/08","福建","350000 福建省福州市马尾区湖里路27号1楼2-57D室(自贸试验区内)","福建","35"
"惠普开发有限公司","三星电子株式会社","G06F11/14; G06F12/00; G06F12/16","美国","韩国京畿道","美国","韩国"
"展讯通信(上海)有限公司; 芯鑫融资租赁(北京)有限责任公司; 芯鑫融资租赁有限责任公司; 芯鑫融资租赁(厦门)有限责任公司","芯鑫融资租赁(厦门)有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁(北京)有限责任公司; 芯鑫融资租赁有限责任公司","H04L1/06; H04L25/02; H04L5/02","上海","361012 福建省厦门市中国(福建)自由贸易试验区厦门片区象屿路97号厦门国际航运中心D栋8层05单元; 201203 上海市浦东新区中国(上海)自由贸易试验区祖冲之路2288; 100033 北京市西城区金融街乙9号威斯汀行政公寓2062室; 201203 上海市浦东新区张江高科技园区祖冲之路2288弄展讯中心1号楼; 200127 中国(上海)自由贸易试验区张杨路707号32楼3205F室","上海","36"
"西北工业大学","重庆誉存大数据科技有限公司","G06F9/455; G06F9/50; H04L29/08","陕西","401121 重庆市渝北区黄山大道中段53号附2号麒麟C座9层","陕西","40"
"桂林电子科技大学","合肥名龙电子科技有限公司","H04L29/06","广西","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","广西","23"
"北京工商大学","龙图腾网科技(合肥)股份有限公司","G06F16/2458; G06F16/26","北京","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","北京","23"
"阿尔卡特朗讯","诺基亚技术有限公司","H04L5/00; H04W56/00","法国","芬兰埃斯波","法国","芬兰"
"鸿富锦精密工业(深圳)有限公司; 鸿海精密工业股份有限公司","鸿富锦精密工业(武汉)有限公司; 鸿海精密工业股份有限公司","G06F1/18","湖北","430000 湖北省武汉市东湖新技术开发区光谷二路特一号富士康科技园","湖北","43"
"燕山大学","龙图腾网科技(合肥)股份有限公司","G06F30/23; G06F30/17","河北","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","河北","23"
"上海明略人工智能(集团)有限公司","上海明胜品智人工智能科技有限公司","G06Q30/02","上海","200030 上海市徐汇区龙兰路277号2号楼5楼5B06单元","上海","20"
"索尼株式会社","杭州海康威视数字技术股份有限公司","H04N5/225; H04N5/232; H04N5/92","日本","310053 浙江省杭州市滨江区阡陌路555号海康科技园","日本","31"
"中国科学院自动化研究所","银河水滴科技(北京)有限公司","G06K9/64","北京","100190 北京市海淀区中关村南一条2号骏马国际酒店B区三层","北京","10"
"中国科学院计算技术研究所","国云科技股份有限公司","H04L12/56; H04W40/00","北京","523808 广东省东莞市松山湖科技产业园区松科苑14号楼","北京","52"
"西门子公司","西门子瑞士有限公司","H04L29/12","德国","瑞士苏黎世","德国","瑞士"
"曙光云计算集团有限公司","曙光信息产业(北京)有限公司","G06F1/16","北京","100089 北京市海淀区东北旺西路8号院36号楼","北京","10"
"重庆交通大学","合肥名龙电子科技有限公司","G06F30/20; G06F30/15","重庆","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","重庆","23"
"哈尔滨工业大学(威海)","哈尔滨工业大学","G06T5/00","山东","150006 黑龙江省哈尔滨市南岗区西大直街92号","山东","15"
"杭州路享科技有限公司","上海观安信息技术股份有限公司","H04L12/66; H05K7/20","上海","200135 上海市浦东新区泥城镇云端路1412弄15号二层1室","上海","20"
"淮阴工学院","憨猴科技集团有限公司","G06N3/045; G06N3/0442; G06N3/049; G16Y40/10; G01L5/00","江苏","100071 北京市丰台区南四环西路186号四区4号楼8层15室","江苏","10"
"哈尔滨工程大学","陕西合友网络科技有限公司","G06V20/10; G06V10/44; G06V10/762; G06V10/80; G06V10/82; G06N3/0464; G06N3/0442; G06N3/08","陕西","712000 陕西省咸阳市西咸新区沣西新城尚业路1309号总部经济园6号楼5层5-01室","陕西","71"
"摩托罗拉公司","捷讯研究有限公司","H04L27/00; H04L9/00; G10L19/12; H03H17/00; H03H17/02; H03M7/30; H03M7/38; H04B14/04","美国","加拿大安大略省","美国","加拿"
"重庆邮电大学","深圳万知达科技有限公司","H04L45/00; H04W4/46; H04W40/32; H04W84/18","广东","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1002","广东","51"
"国际商业机器公司","三星电子株式会社","G06N3/02","韩国","韩国京畿道水原市","韩国","韩国"
"努比亚技术有限公司","上海豹云网络信息服务有限公司","G06F3/04847; G06F3/04883; G06F3/04886; G06F3/04817","上海","200051 上海市长宁区茅台路179号一层L227X室","上海","20"
"华为技术有限公司; 华为软件技术有限公司","苏州鱼得水电气科技有限公司; 华为技术有限公司","G06F11/36","江苏","215010 江苏省苏州市高新区长江路556号5幢704室; 518129 广东省深圳市龙岗区坂田华为总部办公楼","江苏","21"
"皇家菲利浦电子有限公司","NXP股份有限公司","G06K19/07; G06K17/00; G06K19/077","荷兰",NA,"荷兰","Unknown"
"无锡北斗星通信息科技有限公司","罗普特(厦门)科技集团有限公司","H04N7/18; G08B21/06; G08B21/22","福建","361008 福建省厦门市软件园三期诚毅大街366号0006单元","福建","36"
"宇龙计算机通信科技(深圳)有限公司","深圳传音控股股份有限公司","H04L9/32; H04W60/00","广东","518057 广东省深圳市南山区粤海街道深南大道9789号德赛科技大厦标识层17层(自然层15层)1702-1703号","广东","51"
"平安普惠企业管理有限公司","山东浪潮创新创业科技有限公司","G06F16/35; G06F16/2455","山东","250101 山东省中国(山东)自由贸易试验区济南片区浪潮路1036号S02楼","山东","25"
"辽东学院","常熟理工学院","G06F30/10; G06Q30/02; G06F113/12","江苏","215500 江苏省苏州市南三环路99号","江苏","21"
"因芬尼昂技术股份公司","西门子公司","H04L1/00; H04L25/03; H03M13/29; H03M13/41; H04B7/005","德国","德国慕尼黑","德国","德国"
"东莞市华睿电子科技有限公司","深圳市马博士网络科技有限公司","G06F21/84; H04L51/04; H04L51/046; H04L51/52; H04L51/10","广东","518000 广东省深圳市南山区粤海街道深南大道10128号南山软件园东塔601室","广东","51"
"阿里巴巴集团控股有限公司","阿里巴巴达摩院(杭州)科技有限公司","G06F17/30",NA,"浙江省杭州市余杭区五常街道文一西路969号3幢5层516室","Unknown","浙江"
"芯鑫融资租赁(北京)有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁有限责任公司; 芯鑫融资租赁(厦门)有限责任公司","展讯通信(上海)有限公司; 芯鑫融资租赁有限责任公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁(北京)有限责任公司","H04L1/00; H04W24/10","上海","201203 上海市浦东新区中国(上海)自由贸易试验区祖冲之路2288; 200127 中国(上海)自由贸易试验区张杨路707号32楼3205F室; 361012 福建省厦门市中国(福建)自由贸易试验区厦门片区象屿路97号厦门国际航运中心D栋8层05单元; 100033 北京市西城区金融街乙9号威斯汀行政公寓2062室; 201203 上海市浦东新区张江高科技园区祖冲之路2288弄展讯中心1号楼","上海","20"
"平安普惠企业管理有限公司","广州宾聚科技有限公司","G06F8/34; G06F8/38; G06F9/451","广东","510640 广东省广州市天河区科华街1号301至353室E162房(仅限办公)","广东","51"
"英业达股份有限公司","英业达科技有限公司; 英业达股份有限公司","G06F1/26","台湾","201114 上海市闵行区浦星公路789号","台湾","20"
"中天宽带技术有限公司","中天宽带技术有限公司; 中天通信技术有限公司","G06F30/367; G06F30/373; G06F111/06","江苏","226463 江苏省南通市如东县河口镇中天路1号","江苏","22"
"闽江学院","合肥名龙电子科技有限公司","G06N3/0464; G06N3/08","福建","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","福建","23"
"NXP股份有限公司","台湾积体电路制造股份有限公司","H04L1/00; H04L12/00; H04L47/43","台湾","中国台湾新竹科学工业园区新竹市","台湾","中国"
"上海斐讯数据通信技术有限公司","四川旅投数字信息产业发展有限责任公司","G06Q50/26; G07B1/00; G07C9/22","四川","610000 四川省成都市中国(四川)自由贸易试验区成都高新区盛通街16号52栋","四川","61"
"英业达科技有限公司; 英业达股份有限公司","慧与发展有限责任合伙企业","G06F1/18","上海","美国德克萨斯州","上海","美国"
"安科机器人有限公司","福建爱特点信息科技有限公司","G06F3/06","福建","350000 福建省福州市马尾区湖里路27号1#2-45F室(自贸试验区内)","福建","35"
"江苏大学","常州工学院","G06F30/15; G06F119/14","江苏","213032 江苏省常州市新北区辽河路666号","江苏","21"
"山东科技职业学院","沈阳黑豹科技有限公司","G06F1/16","山东","110000 辽宁省沈阳市皇姑区塔湾街7号(塔湾街7号)","山东","11"
"吴东辉","福建爱特点信息科技有限公司","H04L12/58; H04L12/18","福建","350009 福建省福州市马尾区湖里路27号1#2-45F室(自贸试验区内)","福建","35"
"西南石油大学","中国石油化工股份有限公司","G06T5/00","四川","100020 北京市朝阳区朝阳门北大街22号","四川","10"
"台州市吉吉知识产权运营有限公司; 上海斐讯数据通信技术有限公司","上海斐讯数据通信技术有限公司; 台州市吉吉知识产权运营有限公司","H04L12/24; H04W12/06; H04W16/18; H04W40/24","上海","201616 上海市松江区思贤路3666号; 318000 浙江省台州市椒江区洪家街道东环大道2388号农港城A区2-3167号","上海","20"
"阿里巴巴(中国)有限公司; 优酷网络技术(北京)有限公司","优酷文化科技(北京)有限公司; 阿里巴巴(中国)有限公司","G06F3/0484; G06F3/0481","浙江","101400 北京市怀柔区杨宋镇凤翔东大街9号201室; 310052 浙江省杭州市滨江区长河街道网商路699号4号楼5楼508室","浙江","10"
"四川虹微技术有限公司","重庆大学","G06T15/20; G06T1/00","四川","重庆市沙坪坝区沙正街174号  邮政编码 : 400030","四川","重庆"
"浙江师范大学","莫毓昌","G06F17/00; G06Q50/20","浙江","321000 浙江省金华市迎宾大道688号","浙江","32"
"石家庄铁道大学","芽米科技(广州)有限公司","H04L12/58; H04L29/08","河北","510530 广东省广州市黄埔区科丰路85号801房","河北","51"
"杜都","北京神州数码云科信息技术有限公司","G06F1/20; B01D46/00; B01D46/10","北京","100000 北京市海淀区上地九街9号3层301号","北京","10"
"中国科学院计算技术研究所","华为技术有限公司","G06F11/30; G06F17/30","北京","518129 广东省深圳市龙岗区坂田华为总部办公楼","北京","51"
"捷开通讯(深圳)有限公司","南方电网互联网服务有限公司","H04L29/06; H04L9/08","广东","510699 广东省广州市越秀区东风东路757号大院办公综合楼606-609房","广东","51"
"青岛理工大学","龙图腾网科技(合肥)股份有限公司","G06Q20/10; G06Q20/38; G06Q20/40","山东","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","山东","23"
"南方电网数字电网研究院股份有限公司","南方电网数字企业科技(广东)有限公司","G06Q10/0639; G06Q30/01; G06Q50/06","广东","510700 广东省广州市黄埔区光谱中路11号云升科学园","广东","51"
"国际商业机器公司","乐天株式会社","G06F3/06","美国","日本东京都","美国","日本"
"上海斐讯数据通信技术有限公司","曙光星云信息技术(北京)有限公司","G06T7/11; G06T7/136; G06N3/12","北京","100089 北京市海淀区东北旺西路8号院36号楼2层201室","北京","10"
"中兴通讯股份有限公司","温州大学","H04L29/08","浙江","325036 浙江省温州市瓯海区东方南路38号温州市国家大学科技园孵化器","浙江","32"
"深圳富泰宏精密工业有限公司; 奇美通讯股份有限公司","嘉善县魏塘资产管理有限公司","G06F3/041","广东","314100 浙江省嘉兴市嘉善县魏塘街道环北西路355号二楼西侧西二间","广东","31"
"四川长虹电器股份有限公司","四川虹微技术有限公司","H04L47/10; H04L47/20; H04L9/40","四川","610000 四川省成都市中国(四川)自由贸易试验区成都高新区天府四街199号1栋33层","四川","61"
"中国科学院计算技术研究所","北京中科睿芯科技集团有限公司","G06F11/267","北京","100095 北京市海淀区温泉镇创客小镇社区配套商业楼15#楼一层135室","北京","10"
"韶关市启之信息技术有限公司","江苏艾德锐电子科技有限公司","G06F9/4401","江苏","221000 江苏省徐州市新沂市锡沂高新技术产业开发区智慧光电产业园5号厂房","江苏","22"
"威盛电子股份有限公司","上海兆芯集成电路有限公司","G06F9/38","上海","201203 上海市张江高科技园区金科路2537号301室","上海","20"
"苏州浪潮智能科技有限公司","腾讯科技(深圳)有限公司","G06F1/30; G06F11/30","广东","518000 广东省深圳市南山区高新区科技中一路腾讯大厦35层","广东","51"
"杨明","六安同辉智能科技有限公司","G06K9/00; G06K9/32; G06K9/62","安徽","237000 安徽省六安经济技术开发区新加坡御苑12号楼105室","安徽","23"
"阿里巴巴新加坡控股有限公司","阿里云计算有限公司","H04L45/74; H04L45/50; H04L67/133; G06F9/54; G06F9/50","新加坡","浙江省杭州市西湖区三墩镇灯彩街1008号云谷园区1-2-A06室","新加","浙江"
"王龙","天聚地合(苏州)数据股份有限公司","H04L9/08; H04L9/06; H04L29/08","江苏","215000 江苏省苏州市苏州工业园区启月街288号紫金东方大厦307室","江苏","21"
"北京拓思德科技有限公司; 北京奇禄管理咨询有限公司; 田雪松","田雪松; 北京拓思德科技有限公司; 北京奇禄管理咨询有限公司","G06F3/0354; G06F3/038","北京","100098 北京市海淀区北三环西路甲18号院2号楼803-3; 100083 北京市海淀区花园东路10号高德大厦十一层1108号; 100029 北京市朝阳区北辰西路69号峻峰华亭D座1012; 100044 北京市海淀区中关村大街18号8层04-758","北京","10"
"西安邮电大学","赛特斯信息科技股份有限公司","H04L12/12; H04L12/24; H04L12/803","陕西","210042 江苏省南京市玄武区玄武大道699号-22号18幢","陕西","21"
"中国石油大学(北京)","中国石油天然气股份有限公司","G06T7/00; G06T7/62","北京","100007 北京市东城区东直门北大街9号","北京","10"
"展讯通信(上海)有限公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁有限责任公司; 芯鑫融资租赁(北京)有限责任公司","芯鑫融资租赁(厦门)有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁(北京)有限责任公司; 芯鑫融资租赁有限责任公司","H04L12/725","上海","361012 福建省厦门市中国(福建)自由贸易试验区厦门片区象屿路97号厦门国际航运中心D栋8层05单元; 201203 上海市浦东新区张江高科技园区祖冲之路2288弄展讯中心1号楼; 100033 北京市西城区金融街乙9号威斯汀行政公寓2062室; 201203 上海市浦东新区中国(上海)自由贸易试验区祖冲之路2288; 200127 中国(上海)自由贸易试验区张杨路707号32楼3205F室","上海","36"
"北京航空航天大学","北京掌行通信息技术有限公司","G06F16/2458; G06Q50/26","北京","100193 北京市海淀区东北旺西路8号中关村软件园一期27号楼B座303号","北京","10"
"平安普惠企业管理有限公司","深圳市兴海物联科技有限公司","G06F9/445; G06F9/451; G06F8/65; G06Q10/10","广东","518000 广东省深圳市福田区福田街道福南社区世贸广场101-1","广东","51"
"芯鑫融资租赁(北京)有限责任公司; 展讯通信(上海)有限公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁有限责任公司","展讯通信(上海)有限公司; 芯鑫融资租赁有限责任公司; 芯鑫融资租赁(厦门)有限责任公司; 芯鑫融资租赁(北京)有限责任公司","H04L1/00; H04L1/16; H04B1/707","上海","201203 上海市浦东新区中国(上海)自由贸易试验区祖冲之路2288; 200127 中国(上海)自由贸易试验区张杨路707号32楼3205F室; 201203 上海市浦东新区张江高科技园区祖冲之路2288弄展讯中心1号楼; 361012 福建省厦门市中国(福建)自由贸易试验区厦门片区象屿路97号厦门国际航运中心D栋8层05单元; 100033 北京市西城区金融街乙9号威斯汀行政公寓2062室","上海","20"
"广元量知汇科技有限公司","城云科技(中国)有限公司","G06Q30/06; G06Q10/02; G06Q50/14; G07C9/00","浙江","310052 浙江省杭州市滨江区长河街道江南大道588号恒鑫大厦主楼17层、18层","浙江","31"
"西安交通大学","和宇健康科技股份有限公司","G06F17/30; G06F11/14","陕西","510627 广东省广州市天河区海安路13号之一2003、1801、1804房","陕西","51"
"贵州电网有限责任公司电力科学研究院","贵州电网有限责任公司","G06Q10/04; G06Q50/06","贵州","550002 贵州省贵阳市南明区滨河路17号","贵州","55"
"东华理工大学","合肥净龙环保科技有限公司","G06T17/05; G06V20/13; G01S13/90; G01C5/00","江西","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1017","江西","23"
"三洋电机株式会社","知识产权之桥一号有限责任公司","G06F12/14; G06F21/00; G06F21/24; G06F21/60; G06F21/62","日本","日本国东京都","日本","日本"
"江苏大学","深圳万知达科技有限公司","G06F1/02; G01N29/34","广东","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1002","广东","51"
"重庆邮电大学","深圳万知达技术转移中心有限公司","H04L9/40; H04L41/0893","重庆","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1003","重庆","51"
"盐城工学院","合肥九州龙腾科技成果转化有限公司","B60N2/50; B60N2/52","江苏","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼203","江苏","23"
"陕西师范大学","深圳前海大数金融服务有限公司","H04L9/08; H04L29/06","广东","518000 广东省深圳市前海深港合作区前湾一路1号A栋201室(入驻深圳市前海商务秘书有限公司)","广东","51"
"上海掌门科技有限公司","上海果壳电子有限公司","H04L29/06; G10L17/02; G10L21/0232","上海","201204 上海市浦东新区张江高科技园区郭守敬路356号3幢127室","上海","20"
"OPPO广东移动通信有限公司","皇家飞利浦有限公司","H04L43/106; H04W28/06; H04W72/12; H04L43/0852; H04W56/00; H04W80/02; H04L69/40","广东","荷兰艾恩德霍芬市","广东","荷兰"
"克拉斯特有限责任公司; 艾利森电话股份有限公司","奥普蒂斯无线技术有限责任公司; 克拉斯特有限责任公司","H04L7/02; H04L1/20; H04L1/24; H04L7/08; H04B7/26; H04L7/04; H04L27/00","瑞典","美国德克萨斯州; 美国特拉华州","瑞典","美国"
"河西学院","合肥净龙环保科技有限公司","H04L9/00","甘肃","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1017","甘肃","23"
"南昌欧菲光科技有限公司","江西展耀微电子有限公司","G06K9/00","江西","330000 江西省南昌市临空经济区儒乐湖大街955号临瑞青年公寓1号楼4楼422室","江西","33"
"艾利森电话股份有限公司; 克拉斯特有限责任公司","奥普蒂斯无线技术有限责任公司; 克拉斯特有限责任公司","H04L29/12; H04W8/00; H04W8/26","瑞典","美国德克萨斯州; 美国特拉华州","瑞典","美国"
"刘伟","浩德科技股份有限公司","G06K9/46","上海","200050 上海市长宁区协和路1158号217-5室","上海","20"
"努比亚技术有限公司","和宇健康科技股份有限公司","G06F9/48; G06F11/14; G06F16/22; G06F16/245; G06F16/953","广东","510627 广东省广州市天河区海安路13号之一2003、1801、1804房","广东","51"
"中国地质大学(武汉)","龙图腾网科技(合肥)股份有限公司","G06V20/40; G06V20/13; G06V10/764; G06V10/25; G06V10/774; G06N3/006","湖北","230000 安徽省合肥市蜀山经济开发区井岗路电商园一期2号楼1楼","湖北","23"
"淮阴工学院","芽米科技(广州)有限公司","G06F16/35; G06V10/762; G06K9/62; G06V10/764; G06V10/80; G06V10/774; G06V10/82; G06N3/04","江苏","510530 广东省广州市黄埔区科丰路85号801房","江苏","51"
"江苏大学","深圳万知达技术转移中心有限公司","G06F30/20","广东","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1003","广东","51"
"南京中兴新软件有限责任公司; 中兴通讯股份有限公司","中兴通讯股份有限公司; 南京中兴新软件有限责任公司","H04L29/06; G06F9/445","广东","518057 广东省深圳市南山区科技南路55号; 210012 江苏省南京市雨花台区紫荆花路68号","广东","51"
"北京迈格威科技有限公司","迈驰智行(重庆)科技有限公司","G06V20/54; G06V20/40; G06V10/75; G08G1/095","北京","401120 重庆市渝北区两江新区卉竹路2号9幢2层257号","北京","40"
"富士胶片株式会社","脸谱公司","G06T1/00; G06T3/00; G06T9/00; H04Q7/34; H04L12/58","日本","美国加利福尼亚州","日本","美国"
"支付宝(杭州)信息技术有限公司; 蚂蚁区块链科技(上海)有限公司","蚂蚁区块链科技(上海)有限公司","G06F16/215; G06F16/22; G06F16/27; G06F21/64","浙江","200010 上海市黄浦区外马路618号8层803室","浙江","20"
"张仁平","国网上海市电力公司","G06F3/023","重庆","200002 上海市黄浦区南京东路181号","重庆","20"
"原相科技股份有限公司","神盾股份有限公司","G06F3/033; H04N3/15; H04N5/335; G06F3/0354; H04N5/341; H04N25/00","台湾","中国台湾新竹市","台湾","中国"
"杭州才云科技有限公司","北京火山引擎科技有限公司","H04L41/0803; H04L41/0893; H04L67/10","浙江","100190 北京市海淀区紫金数码园4号楼13层1309","浙江","10"
"燕山大学","深圳万知达科技有限公司","G06T7/40; G06V10/772; G06K9/62","河北","518000 广东省深圳市龙华区大浪街道横朗社区华兴路13号智云产业园A栋1002","河北","51"
"南京信息工程大学","深兰科技(上海)有限公司","G06Q10/04; G06K9/64","江苏","200050 上海市长宁区威宁路369号10楼","江苏","20"
"黑龙江大学","合肥智慧龙机械设计有限公司","G16C20/50; G16C20/70; G06N3/047; G06N3/08","黑龙江","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1018","黑龙","23"
"松下电器产业株式会社","诺基亚通信公司","H04L27/26; H04J1/00; H04B1/04; H04J13/00","日本","芬兰埃斯波","日本","芬兰"
"盐城工学院","上海观安信息技术股份有限公司","H04L29/06; H04L12/26","江苏","200120 上海市浦东新区泥城镇云端路1412弄15号二层1室","江苏","20"
"中国计量大学","合肥名龙电子科技有限公司","G05B13/04","浙江","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","浙江","23"
"浙江工业大学","合肥名龙电子科技有限公司","H04L9/00","浙江","230000 安徽省合肥市蜀山区甘泉路81号沃野花园商办楼B-1015","浙江","23"
"江苏科技大学","常熟南师大发展研究院有限公司","G06F1/16; G08C17/02","江苏","215500 江苏省常熟市东南经济开发区金都路8号","江苏","21"
"努比亚技术有限公司","南方电网互联网服务有限公司","G06F3/0346; G01C25/00","广东","510699 广东省广州市越秀区东风东路757号大院办公综合楼606-609房","广东","51"
