"变量","估计值","标准误","z值","p值"
"edges",-27.5284145165198,2096.27087704214,-0.0131320884233066,0.989522410543244
"edgecov.geo_prox",Inf,0,Inf,0
"edgecov.tech_sim",1264.34073002403,88043.9462910315,0.0143603368918145,0.988542502700246
