node,degree,pagerank,assigner_count,assignee_count,total_activity
TCL移动通信科技(宁波)有限公司,7,0.0021980795833032576,4,3,7
江苏科技大学,5,0.0007613999993623027,5,0,5
常熟市知识产权运营中心有限公司,5,0.002386020524915292,0,5,5
松下电器(美国)知识产权公司; 松下电器产业株式会社,2,0.004993430286610057,1,1,2
松下电器产业株式会社; 松下电器(美国)知识产权公司,2,0.004993430286610057,1,1,2
北京邮电大学,3,0.0007613999993623027,3,0,3
北京智谷技术服务有限公司,5,0.002703545978676123,0,5,5
上海掌门科技有限公司,4,0.002778230886857192,2,2,4
上海果壳电子有限公司,1,0.0019426287068046875,0,1,1
河南城建学院,2,0.0007613999993623027,2,0,2
国网江苏省电力有限公司信息通信分公司,2,0.0014087819924669094,0,2,2
歌尔科技有限公司; 歌尔光学科技有限公司,2,0.004993430286610057,1,1,2
歌尔光学科技有限公司; 歌尔科技有限公司,2,0.004993430286610057,1,1,2
西安理工大学,2,0.0007613999993623027,2,0,2
深圳万知达科技有限公司,13,0.005423989885405888,0,13,13
阿里巴巴集团控股有限公司,7,0.0007613999993623027,7,0,7
平头哥(上海)半导体技术有限公司,3,0.0010402433313435565,1,2,3
北京神州数码云科信息技术有限公司; 神州鲲泰(厦门)信息技术有限公司,4,0.0017859293964665073,0,4,4
北京工业大学,2,0.0007613999993623027,2,0,2
江苏博智软件科技股份有限公司,4,0.002509331380744741,0,4,4
芽米科技(广州)有限公司,10,0.0031144969994374026,0,10,10
田雪松; 北京拓思德科技有限公司; 北京奇禄管理咨询有限公司,4,0.002226036148037369,2,2,4
北京拓思德科技有限公司; 北京奇禄管理咨询有限公司; 田雪松,5,0.004405671421753434,3,2,5
曙光信息产业(北京)有限公司,2,0.0007613999993623027,2,0,2
曙光信息产业股份有限公司,1,0.0010850909959146061,0,1,1
辽宁工程技术大学,2,0.0007613999993623027,2,0,2
山东科技大学,2,0.00132466139922147,0,2,2
北京百度网讯科技有限公司,4,0.0007613999993623027,4,0,4
阿波罗智能技术(北京)有限公司,2,0.001246936494190758,0,2,2
王梅,1,0.0007613999993623027,1,0,1
