"转让人","受让人","IPC分类号"
"上海博泰悦臻电子设备制造有限公司; 上海博泰悦臻网络技术服务有限公司","上海博泰悦臻电子设备制造有限公司","G06F17/30"
"上海博泰悦臻电子设备制造有限公司; 上海博泰悦臻网络技术服务有限公司","上海博泰悦臻电子设备制造有限公司; 上海汽车集团股份有限公司","H04L12/24; H04L29/08; H04L12/58"
"苏州彭华信息技术有限公司","江苏瑞曼信息技术有限公司","H04L12/24; H04L12/26; H04L29/06"
"北京中星微电子有限公司; 中星电子股份有限公司","北京中星微电子有限公司; 重庆中星微人工智能芯片技术有限公司; 中星电子股份有限公司","G06K9/00"
"武汉华工图像技术开发有限公司","武汉华工赛百数据系统有限公司","G06K19/077; B32B15/08; B32B15/12"
"河海大学; 江苏方天电力技术有限公司","国家电网公司; 河海大学; 江苏方天电力技术有限公司; 江苏省电力公司","G06F17/50; G06N3/08"
"恒忆有限责任公司","微米技术有限公司","G06F11/10"
"意法爱立信有限公司; 意法爱立信(法国)有限公司","意法爱立信有限公司","H04L1/00; H04L1/18"
"S·艾勒特; M·莱因万德; J·赫尔伯特","恒忆公司","G06F17/30; G06F12/02"
"北京海兰德维通信技术有限公司","大连海兰德维通信技术有限公司","H04L1/06; H04L1/00; H04B7/06; H04B7/08"
"浙江大学","浙江大学; 中铁电气化勘测设计研究院有限公司; 中铁电气化局集团有限公司","G06F17/50"
"广东开心信息技术有限公司","广东因豪信息科技有限公司","G06K9/66; G06T7/00"
"青岛海信信芯科技有限公司","青岛海信电器股份有限公司","H04L12/70; H04L29/06; H04L12/24"
"河南科技大学","许昌龙岗发电有限责任公司","G06F1/20; F16M11/00"
"平顶山市恒华科技有限公司","河南西瑞德胜电气自动化有限公司","H04L29/06; H02J13/00"
"北京新岸线网络技术有限公司; 北京新岸线移动多媒体技术有限公司","北京普及芯科技有限公司; 北京新岸线移动多媒体技术有限公司","G06F17/30; H04L29/06"
"同方知网(北京)技术有限公司","《中国学术期刊(光盘版)》电子杂志社","G06K9/20; G06F17/21"
"刘文萍","北京林业大学","G06F17/30; G06K9/64"
"联邦印刷有限公司; 三星移动显视器有限公司","联邦印刷有限公司; 三星显示有限公司","G06K19/07"
"北京航空航天大学","北京浩正泰吉科技有限公司","G06F13/38"
"深圳市子栋科技有限公司; 车音智能科技有限公司","深圳市车音网科技有限公司; 成都车音智能科技有限公司","G11B19/02; H04L29/08"
"厦门市三安光电科技有限公司","安徽三安光电有限公司","H01L33/20"
"武汉大学","武汉大学; 中国国土资源航空物探遥感中心","G06T17/00; G01S17/06"
"郝红卫; 殷绪成; 王志彬","北京东方奔腾信息技术有限公司","G06T1/00"
"河北省电力研究院","河北省电力公司电力科学研究院; 国家电网公司河北省电力建设调整试验所","G06F19/00; H02J3/00"
"上海中标软件有限公司; 中标软件有限公司","武汉芯光云信息技术有限责任公司; 中标软件有限公司","H04L29/06"
"邬明权; 王力","中国科学院遥感应用研究所","G06K9/00; G06T5/00"
"汽车零部件研究及发展中心有限公司","中国香港生产力促进局","G06F17/50"
"苏勋文","哈尔滨工业大学; 黑龙江科技学院","G06F17/50"
"南京南瑞继保电气有限公司; 南京南瑞继保工程技术有限公司; 广州供电局有限公司; 广东电网有限责任公司广州供电局","南京南瑞继保电气有限公司; 广州供电局有限公司; 广东电网有限责任公司广州供电局","G06F11/22; G06F9/445"
"恒原微电子(上海)有限公司","恒原百炼微电子科技(北京)有限公司","H04L27/26"
"上海果壳电子有限公司; 上海盛轩网络科技有限公司; 上海掌门科技有限公司; 盛乐信息技术(上海)有限公司","上海果壳电子有限公司; 上海连尚网络科技有限公司; 上海盛轩网络科技有限公司; 上海掌门科技有限公司","G06F17/30"
"上海果壳电子有限公司; 上海盛轩网络科技有限公司; 盛乐信息技术(上海)有限公司","上海果壳电子有限公司; 上海盛轩网络科技有限公司; 上海掌门科技有限公司","H04L12/28; H04L29/06; G06F3/01; H04B5/00"
"深圳市闪联信息技术有限公司; 北京闪联云视信息技术有限公司","北京闪联云视信息技术有限公司; 深圳市国腾盛华电子有限公司","H04L29/06"
"上海果壳电子有限公司; 上海盛轩网络科技有限公司; 盛乐信息技术(上海)有限公司","上海果壳电子有限公司; 上海连尚网络科技有限公司; 上海盛轩网络科技有限公司","G06F3/0481"
"北京云快线软件服务有限公司; 北京世纪互联工程技术服务有限公司","北京世纪互联宽带数据中心有限公司","H04L12/24"
"安和创新科技(北京)有限公司","汉柏科技有限公司","H04L12/58; H04L29/06; H04L12/66; H04L29/12"
"南京博智软件科技有限公司","江苏博智软件科技有限公司","H04L29/06; H04L29/08; H04L9/32"
"华为数字技术(成都)有限公司; 华为技术有限公司","华为技术有限公司; 超聚变数字技术有限公司","G06F3/06; G06F11/16"
"电子科技大学","无锡艾立德智能科技有限公司","G06T5/00"
"美科德(北京)科技有限公司; 李斌","李斌; 美科德(北京)科技有限公司","H04L29/08"
"广东开心信息技术有限公司; 广东因豪信息科技有限公司; 祁亨年","广东因豪信息科技有限公司; 广州市因豪信息科技有限公司; 祁亨年","G06F3/033"
"北京椒图科技有限公司","深圳市安盾椒图科技有限公司","G06F21/56"
"赵俊平","深圳市宇初网络技术有限公司","H04L29/06"
"北京市电力公司","国家电网公司; 北京市电力公司","H04L12/26"
"华为数字技术(成都)有限公司","华为技术有限公司","H04L12/56; H04L12/26"
"北京世纪互联工程技术服务有限公司","北京世纪互联宽带数据中心有限公司","G06F21/00; G06F21/62"
"北京世纪互联工程技术服务有限公司; 北京云快线软件服务有限公司","北京世纪互联宽带数据中心有限公司","H04L29/08"
"北京创新方舟科技有限公司; 北京风灵创景科技有限公司","北京风灵创景科技有限公司; 福建风灵创景科技有限公司","G06F3/0488; G06F3/0481"
"广东开心信息技术有限公司; 广东因豪信息科技有限公司","广东因豪信息科技有限公司; 祁亨年","G06K9/62; G06K9/68"
"周民智; 厦门瑞斯墁电子科技有限公司","厦门瑞斯墁电子科技有限公司; 众为先(厦门)科技有限公司","G06F3/033"
"大唐电信(成都)信息技术有限公司; 西安大唐电信有限公司","大唐电信(成都)信息技术有限公司; 大唐电信科技股份有限公司","H04L7/033; H04L7/00"
"浙江中科电声研发中心","嘉善恩益迪电声技术服务有限公司; 浙江中科电声研发中心","G06F17/50"
"浙江省电力公司电力科学研究院; 浙江省电力试验研究院技术服务中心","浙江省电力公司电力科学研究院; 浙江省电力试验研究院技术服务中心国家电网公司","G06F17/30"
"中煤地航测遥感局有限公司","西安煤航信息产业有限公司","G06T17/00"
"上海市电力公司; 上海电力通信有限公司; 上海久隆电力科技有限公司","上海市电力公司; 上海电力通信有限公司国家电网公司; 上海电力通信有限公司","G06F17/30; G06Q50/06; H02J13/00"
"中国科学院研究生院","中国科学院信息工程研究所","G06F21/85; G06F13/38"
"鼎迈医疗科技(苏州)有限公司","苏州景昱医疗器械有限公司","H04L9/32"
"深圳市闪联信息技术有限公司; 北京闪联云视信息技术有限公司","北京闪联云视信息技术有限公司; 南京鹏龙软件有限公司","H04L29/08; H04L29/06; G06F3/06"
"福建省电力有限公司厦门电业局","国家电网公司; 福建省电力有限公司福建省电力有限公司厦门电业局","G06T7/20; G06K9/00"
"华北电力科学研究院有限责任公司; 冀北电力有限公司计量中心","国家电网公司; 华北电力科学研究院有限责任公司; 冀北电力有限公司计量中心","G06K13/07; G06K1/12"
"耶宝智慧(北京)技术发展有限公司; 苏州耶宝智慧信息技术有限公司","苏州耶宝智慧信息技术有限公司; 尹红伟","G06F17/30"
"杭州通谷科技有限公司","彭亮","H04L12/56"
"江苏方天电力技术有限公司","国家电网公司; 江苏方天电力技术有限公司; 江苏省电力公司","H04L7/00"
"东北电力科学研究院有限公司; 辽宁东科电力有限公司","东北电力科学研究院有限公司; 国家电网公司; 辽宁东科电力有限公司; 辽宁省电力有限公司电力科学研究院","G06F17/50"
"浙江省电力试验研究院; 国电南瑞科技股份有限公司","浙江省电力公司电力科学研究院; 国电南瑞科技股份有限公司国家电网公司","H04L12/26"
"武汉大学; 常熟南师大发展研究院有限公司; 常熟紫金知识产权服务有限公司","常熟紫金知识产权服务有限公司; 常熟南师大发展研究院有限公司","G06T11/20"
"北京中电普华信息技术有限公司","国家电网公司; 北京中电普华信息技术有限公司","H04L29/08"
"OLAWORKS株式会社","英特尔公司","G06F1/16; G06F3/01; G06K9/32; G06T11/00; G06T19/00; G06V10/25"
"李卫伟; 王敏乐","北京慧眼智行科技有限公司","H04L29/06; G06K7/10"
"北京世纪互联工程技术服务有限公司; 北京云快线软件服务有限公司; 北京世纪互联宽带数据中心有限公司","北京世纪互联宽带数据中心有限公司; 上海蓝云网络科技有限公司","H04L29/12; H04L29/06; H04L29/08"
"上海久隆电力(集团)有限公司; 上海久隆信息工程有限公司","上海久隆电力(集团)有限公司; 上海欣能信息科技发展有限公司","H04L12/40; G06F17/30"
"徐立中; 樊棠怀丁晓峰王慧斌严锡君; 江苏瑞奇自动化有限公司","江苏瑞奇自动化有限公司; 海安汇珏网络通信设备有限公司","H04L12/44; H04L29/08"
"厄塞勒拉特公司; 凯为国际公司; 马维尔国际有限公司; 马维尔电子科技瑞典公司","厄塞勒拉特纽科公司; 马维尔亚洲私人有限公司; 凯为国际公司; 马维尔国际有限公司","G06F13/16"
"浙江省电力试验研究院; 浙江省电力试验研究院技术服务中心","浙江省电力公司电力科学研究院; 浙江省电力试验研究院技术服务中心国家电网公司","G06F17/50"
"冀北电力有限公司廊坊供电公司","国家电网公司; 冀北电力有限公司廊坊供电公司","G06Q50/06"
"东莞锐发智能卡科技有限公司","东莞市锐祥智能卡科技有限公司","G06K19/077; B23K26/20; B23K26/42; H01Q1/22; B23K26/21; B23K26/70"
"青岛泰光润能软件股份有限公司","青岛海祥电力科技股份有限公司","G06F17/40"
"北京中星微电子有限公司; 中星电子股份有限公司","北京中星微电子有限公司; 中星技术有限公司; 中星电子股份有限公司","G06K9/00; G06K9/62; G06K9/46"
"重庆长安汽车股份有限公司","重庆长安汽车股份有限公司; 重庆长安新能源汽车有限公司","G06F3/0481; G06F3/0481I; G06F3/14; G06F17/30"
"重庆市电力公司电力科学研究院","重庆市电力公司电力科学研究院; 国家电网公司","H04L12/26; H04B3/54"
"北京新岸线网络技术有限公司","北京新岸线移动多媒体技术有限公司","G06F3/01; G06T19/00; G06F3/048"
"江南大学","江南大学; 无锡市滨湖区环境监测站江苏省环境监测中心","G06F19/00"
"北京书生国际信息技术有限公司; 北京书生数字图书馆软件技术有限公司; 北京书生网络技术有限公司; 北京书生电子技术有限公司","天津书生投资有限公司","G06F17/30"
"火棘移动公司","高通股份有限公司","G06Q20/32; G06Q20/04; G06Q30/02; G06Q20/20; G06Q30/06; G06Q40/02"
"上海奈凯电子科技有限公司; 上海维宏电子科技股份有限公司; 上海维宏电子科技有限公司","上海奈凯电子科技有限公司; 上海维宏电子科技股份有限公司","G06F17/30; G07C3/00"
"江苏科技大学; 常熟南师大发展研究院有限公司; 江苏中利电子信息科技有限公司","常熟南师大发展研究院有限公司; 江苏中利电子信息科技有限公司; 江苏中利集团股份有限公司","H04L12/56; H04L12/823; H04L12/861; H04L47/32"
"国网信息通信有限公司; 北京天云融创科技有限公司北京友友天宇系统技术有限公司","国家电网公司; 国网信息通信有限公司北京天云融创科技有限公司北京友友天宇系统技术有限公司","G06F17/30"
"胡劲松","北京翰云时代科技有限公司","G06F17/30"
"索尼公司; 株式会社日本显示器西","株式会社日本显示器; 株式会社日本显示器西","G06F3/041; G06F3/0488"
"上海盛娱网络科技有限公司","董浩亮","G06F3/0488; G06F3/041"
"阮晓迅; 梁金千","北京亿赛通科技发展有限责任公司","G06F21/10"
"保定市大为计算机软件开发有限公司; 国网信息通信有限公司","保定市大为计算机软件开发有限公司; 国网信息通信有限公司国家电网公司","G06T17/05; G06F17/30"
"中国科学院微电子研究所","无锡中科微电子工业技术研究院有限责任公司","G06F17/50"
"北京中星微电子有限公司; 中星电子股份有限公司","北京中星微电子有限公司; 中星电子股份有限公司; 重庆中星微人工智能芯片技术有限公司","G06K9/66"
"天津英瑞圣华生物技术有限公司","顺昊细胞生物技术(天津)有限公司","H04L29/08; G08C17/02; A01N1/02"
"陈宇珂","华南理工大学","G06T5/00"
"广州中大微电子有限公司; 中山大学","广州中大微电子有限公司; 中山大学; 深圳市正东源科技有限公司","G06K19/073"
"广州中大微电子有限公司","广州中大微电子有限公司; 中山大学","G06F7/58; G06K19/07"
"胡建国","中山大学; 广州中大微电子有限公司","G06K19/077"
"胡建国","广州中大微电子有限公司","G06K19/077"
"上海电力表计技术服务公司; 上海市电力公司","国家电网公司; 上海电力表计技术服务公司; 上海市电力公司","G06K7/10"
"韩铮; 闫文闻; 泽普互动(北京)科技有限公司; 泽普互动(天津)科技有限公司","北京顺源开华科技有限公司; 韩铮; 闫文闻; 泽普互动(北京)科技有限公司; 泽普互动(天津)科技有限公司","G06T7/20"
"重庆电力科学试验研究院","重庆市电力公司电力科学研究院; 国家电网公司","G06F17/50"
"苏州同程旅游网络科技有限公司","同程网络科技股份有限公司","G06F17/30"
"江西省电力科学研究院; 国家电网公司","国网江西省电力有限公司电力科学研究; 江西省电力科学研究院; 国家电网公司; 国家电网公司","G06F17/50"
"重庆大学","重庆大学; 重庆市科学技术研究院","H04L29/08; A61B5/107"
"湖北省电力公司电力试验研究院; 武汉大学","国家电网公司; 湖北省电力公司电力科学研究院; 武汉大学","G06F17/50"
"江苏电力信息技术有限公司","国家电网公司; 江苏电力信息技术有限公司; 江苏省电力公司","H04L12/70; G06F9/50; H04L12/875; H04L47/56"
"浙江省电力公司台州电业局","国家电网公司; 浙江省电力公司台州电业局","G06K17/00"
"盛乐信息技术(上海)有限公司","上海宁乐科技有限公司","G06F11/00"
"深圳大学","深圳大学; 湖南大学","G06F17/50; G06N3/02"
"瀚斯宝丽显示科技(南京)有限公司","南京瀚宇彩欣科技有限责任公司","G06F3/00"
"徐良雨; 周华; 林加缪; 周华林加则","林加缪; 林加则; 周华; 杭州博联智芯科技有限公司","G06Q10/06"
"北京许继电气有限公司; 国家电网公司","北京许继电气有限公司; 国家电网公司; 国网河南省电力公司电力科学研究院","H04L12/28"
"上海市电力公司; 上海久隆电力科技有限公司","上海市电力公司; 国家电网公司上海电力通信有限公司","G06F17/50"
"王尚奇","王尚奇; 王学春","G06F17/30; G01C7/00; G09B29/00"
"华南理工大学","上海海事大学","H04L1/16; H04L1/18; H04L12/813; H04W28/10; H04L47/20"
"珠海金山办公软件有限公司; 珠海金山软件有限公司","北京金山软件有限公司; 珠海金山软件有限公司","G06F17/30"
"武汉理工大学","武汉理工大学; 北京天威诚信电子商务服务有限公司","H04L9/32; H04L9/30"
"广东电网公司佛山供电局","广东电网公司佛山供电局; 武汉大学","G06F19/00"
"上海电力通信有限公司; 上海市电力公司; 上海思南电力通信有限公司","上海电力通信有限公司; 上海市电力公司国家电网公司; 上海市电力公司","H04L12/26"
"东北电力科学研究院有限公司; 国家电网公司; 辽宁省电力有限公司电力科学研究院","东北电力科学研究院有限公司; 国家电网公司; 国网辽宁省电力有限公司电力科学研究院; 黑龙江省电力科学研究院; 辽宁省电力有限公司电力科学研究院","G06F19/00"
"北京航空航天大学; 上海飞机制造有限公司","上海飞机制造有限公司; 北京航空航天大学","G06T19/00; G06F17/50"
"光庭导航数据(武汉)有限公司; 武汉光庭信息技术股份有限公司","武汉光庭信息技术有限公司; 武汉中海庭数据技术有限公司","G06K9/62"
"湖州电力局","国家电网公司; 湖州电力局","G06F17/50; H02G9/00"
"珠海金山办公软件有限公司","北京金山软件有限公司","G06F17/30"
"浙江省电力试验研究院","浙江省电力公司电力科学研究院; 国家电网公司","G06F17/50"
"中国铁道科学研究院电子计算技术研究所; 北京经纬信息技术公司","中国铁道科学研究院电子计算技术研究所; 北京经纬信息技术公司; 中国铁道科学研究院","H04L29/08; H04L12/865; H04W4/04; H04L47/6275"
"梁守龙","辽源环宇佳讯通讯技术有限公司","G06F12/14; G06F21/34; H04L9/08; G06F21/62"
"北京理工大学","北京理工大学; 公安部第三研究所","H04L29/06; H04L29/08"
"国网信息通信有限公司; 北京国电通网络技术有限公司","国家电网公司; 北京国电通网络技术有限公司; 国网信息通信有限公司","H04L12/28; H04L29/06"
"南京南瑞继保电气有限公司; 南京南瑞继保工程技术有限公司","南京南瑞继保电气有限公司; 大唐国际发电股份有限公司","H04L12/24"
"谭洪舟","广州市加信电子技术有限公司","G06K9/20; H04N9/04; H04N9/64"
"北京四方继保自动化股份有限公司; 湖南省电力公司科学研究院","北京四方继保自动化股份有限公司; 国家电网公司; 湖南省电力公司科学研究院","G06F12/16"
"国电南瑞科技股份有限公司","国电南瑞科技股份有限公司; 江苏省电力公司苏州供电公司","G06F17/30"
"深圳第七大道科技有限公司; 深圳第七大道网络技术有限公司","深圳第七大道网络技术有限公司; 深圳第七大道科技有限公司; 深圳市前海幻境网络科技有限公司","H04L12/24; H04L29/08"
"辽宁省电力有限公司鞍山供电公司; 华北电力大学","辽宁省电力有限公司鞍山供电公司; 华北电力大学国家电网公司","H04L1/22; H02J13/00"
"陈辉; 南京音优行信息技术有限公司","陈辉; 支付宝(中国)网络技术有限公司","H04L1/00; H04M1/50"
"大唐移动通信设备有限公司","大唐联仪科技有限公司","G06F9/45"
"成都随时信息技术有限公司","成都三零瑞通移动通信有限公司","G06K7/00; H03K5/156"
"山西省电力公司大同供电分公司","国家电网公司; 山西省电力公司大同供电分公司","H04L29/06"
"重庆电力设计院","重庆电力设计院; 国家电网公司","G06F17/50"
"山东电力集团公司临沂供电公司","国家电网公司; 山东电力集团公司临沂供电公司","G06F17/30"
"爱默杰有限责任公司","Z124公司","G06F1/16; G06F3/14"
"重庆市电力公司信息通信分公司; 深圳市震有科技有限公司","重庆市电力公司信息通信分公司; 深圳市震有科技有限公司国家电网公司","H04L29/06"
"江苏方天电力技术有限公司; 江苏省电力公司淮安供电公司","国家电网公司; 江苏方天电力技术有限公司; 江苏省电力公司; 江苏省电力公司淮安供电公司","G06F17/30"
"东南大学; 江苏方天电力技术有限公司; 江苏省电力公司淮安供电公司","东南大学; 国家电网公司; 江苏方天电力技术有限公司; 江苏省电力公司淮安供电公司","G06Q10/04; G06Q50/06"
"北京中电普华信息技术有限公司; 国家电网有限公司","国家电网公司; 北京中电普华信息技术有限公司; 北京国电通网络技术有限公司; 国家电网有限公司","H04L29/06; H04L29/08"
"甘肃电力科学研究院; 华北电力大学","甘肃电力科学研究院; 华北电力大学国家电网公司","G06F17/30; G06Q50/06"
"光庭导航数据(武汉)有限公司","武汉光庭信息技术有限公司","H04L29/06; H04L29/08"
"北京智网宇通信息技术咨询有限公司","北京钱方银通科技有限公司","G06Q20/20"
"福建省电力有限公司","国家电网公司; 福建省电力有限公司","G06F11/14"
"重庆市电力公司","重庆市电力公司; 国家电网公司","G06Q10/08; G06Q50/28"
"江苏省电力公司苏州供电公司; 江苏瑞中数据股份有限公司","国家电网公司; 江苏瑞中数据股份有限公司江苏省电力公司苏州供电公司江苏省电力公司","G06F17/30; G06Q50/06"
"重庆市电力公司万州供电局; 国网重庆市电力公司万州供电分公司; 国家电网公司","重庆市电力公司万州供电局; 国家电网公司; 国网重庆市电力公司万州供电分公司","G06F19/00"
"南京捷梭软件科技有限公司","南京橙红信息科技有限公司","G06F17/30"
"国网信息通信有限公司; 北京国电通网络技术有限公司深圳市国电科技通信有限公司; 国家电网公司; 北京国电通网络技术有限公司; 深圳市国电科技通信有限公司","国家电网公司; 国网信息通信有限公司北京国电通网络技术有限公司深圳市国电科技通信有限公司; 国网信息通信有限公司; 北京国电通网络技术有限公司; 深圳市国电科技通信有限公司; 福建网能科技开发有限责任公司","G06F9/46"
"上海同吉建筑工程设计有限公司; 同济大学","同济大学; 上海同吉建筑工程设计有限公司合肥市重点工程建设管理局","G06F17/50"
"南京柏梭信息科技有限公司","南京橙红信息科技有限公司","G06F17/30"
"重庆市电力公司电力科学研究院","国家电网公司; 重庆市电力公司电力科学研究院","H04L7/00; H04J3/06; H04Q11/00; H04B10/25; H04B10/032"
"甘肃电力科学研究院; 国网信息通信有限公司北京国电通网络技术有限公司","国家电网公司; 甘肃电力科学研究院国网信息通信有限公司北京国电通网络技术有限公司","G06F17/30"
"江苏省电力试验研究院有限公司","国家电网公司; 江苏省电力公司; 江苏省电力公司电力科学研究院","G06F17/50"
"江海; 齐心","齐心; 因诺微科技(天津)有限公司","H04L7/00"
"浙江宇天科技股份有限公司; 广东宇天科技有限公司江苏宇天新媒体技术有限公司北京创智通达信息咨询有限公司","浙江宇天科技股份有限公司; 广东宇天科技有限公司","G06F3/023; G09B21/00; H04M1/247"
"陈东平; 徐慧莉","徐慧莉; 汕头市帝盟网络科技有限公司","G06Q10/08; G06Q50/28"
"江苏省电力公司扬州供电公司","江苏省电力公司扬州供电公司; 江苏省电力公司国家电网公司","H04L29/08; G06Q10/06; G06F17/30; G06K7/00"
"深圳市科陆电子科技股份有限公司; 冀北电力有限公司计量中心","国家电网公司深圳市科陆电子科技股份有限公司; 冀北电力有限公司计量中心","G01R35/04"
"吴岳忠","厦门飞沃移动通讯科技有限公司","G06F3/02; G06F3/042"
"中国电力科学研究院; 国网电力科学研究院","国网电力科学研究院; 国家电网公司","H04L29/06; H04L9/32; G06F21/44; G06F21/62; G06F21/31"
"星友科技股份有限公司; 许文星","许文星","G06K9/00; G06K9/64"
"天津市电力公司; 北京四方继保自动化股份有限公司","天津市电力公司; 北京四方继保自动化股份有限公司国家电网公司","G06F17/30; G06Q50/06"
"天津市电力公司; 中国电力科学研究院北京科东电力控制系统有限责任公司","天津市电力公司; 中国电力科学研究院北京科东电力控制系统有限责任公司国家电网公司","G06F9/44; G06F9/46"
"东南大学; 江苏省电力试验研究院有限公司","东南大学; 国家电网公司; 江苏省电力公司; 江苏省电力公司电力科学研究院; 江苏省电力试验研究院有限公司","H02P21/00"
"齐心","因诺微科技(天津)有限公司","H04L1/00; H04B1/00; H03M13/27"
"奇智软件(北京)有限公司; 北京奇虎科技有限公司","北京奇虎科技有限公司; 奇智软件(北京)有限公司; 天津奇思科技有限公司","G06F17/30"
"重庆市电力公司北碚供电局","国家电网公司; 重庆市电力公司北碚供电局","G06F19/00"
"河北省送变电公司","河北省送变电公司; 国家电网公司河北省电力公司","G06F17/50"
"付少锋; 朱萌; 刘鑫; 王浩然","西安电子科技大学","G06T13/80; A63J19/00"
"星云融创(北京)科技有限公司; 昆仑芯(北京)科技有限公司; 星云融创(北京)信息技术有限公司","星云融创(北京)信息技术有限公司; 重庆云流未来科技有限公司; 星云融创(北京)科技有限公司","H04L29/06; H04L12/26"
"国家电网公司; 国网江西省电力科学研究院; 国家电网公司; 江西省电力科学研究院; 国网江西省电力科学研究院","国家电网公司; 国网江西省电力科学研究院; 国网江西省电力有限公司电力科学研究院; 江西省电力科学研究院; 国家电网公司; 国家电网公司","G01R35/04; G01R35/00"
"英吉尼克斯公司","扬州永利宁科技有限公司","G06F3/01"
"北京中电普华信息技术有限公司; 国家电网公司","国家电网公司; 北京中电普华信息技术有限公司; 国网信息通信产业集团有限公司","G06F9/46; G06F9/455"
"国网信息通信有限公司; 华北电力大学; 国家电网有限公司","国家电网公司; 华北电力大学; 国网信息通信有限公司; 国家电网有限公司; 国家电网有限公司信息通信分公司","H04L12/26; H04J14/00"
"凹凸科技国际股份有限公司; 智投资产192有限责任公司; 凹凸电子(武汉)有限公司; 艾优克服务有限公司","艾优克服务有限公司; 联洲国际(美国)有限公司; 凹凸科技国际股份有限公司; 智投资产192有限责任公司","H04L12/56; H04L12/26; H04L29/06"
"广州市百成科技有限公司; 昆山百润科技股份有限公司","广州市百成科技有限公司; 昆山百润科技有限公司; 山西百成科技有限公司","G06T1/00"
"联邦印刷有限公司; 三星移动显视器有限公司; 三星显示有限公司","联邦印刷有限公司; 三星显示有限公司","G06K19/07"
"NXP股份有限公司; 皇家菲利浦电子有限公司","英闻萨斯有限公司; NXP股份有限公司","G06K19/077; H01L23/48"
"无线技术解决方案有限责任公司; IP无线有限公司","IP无线有限公司; 恩维蒂亚公司; 无线技术解决方案有限责任公司","H04L27/26; H04L25/02"
"北大方正集团有限公司; 北京大学; 北京方正飞阅传媒技术有限公司; 北京方正阿帕比技术有限公司","北大方正集团有限公司; 北京大学; 利德科技发展有限公司; 北京方正飞阅传媒技术有限公司","G06Q30/00; G06F17/24; G09F9/30; G06Q30/02"
"北京云快线软件服务有限公司; 北京世纪互联宽带数据中心有限公司","北京世纪互联宽带数据中心有限公司; 北京云快线软件服务有限公司","G06F17/30; H04N7/173; H04N7/24"
"SK电信股份有限公司","SK普兰尼特有限公司","G06Q20/00; G06Q99/00; H04B1/40"
"浙江省电力试验研究院; 南京南瑞继保电气有限公司","浙江省电力公司电力科学研究院; 南京南瑞继保电气有限公司国家电网公司","G06F17/50"
"贵州讯腾物联网有限公司; 广东讯腾物联网有限公司","广东讯腾物联网有限公司; 深圳讯腾软件技术有限公司","G06K17/00"
"上海资和通信科技有限公司; 上海市电力公司","上海资和通信科技有限公司; 上海市电力公司国家电网公司","H04L29/10"
"江苏电力信息技术有限公司","江苏电力信息技术有限公司; 江苏省电力公司国家电网公司","H04L12/56; H04L12/721; H04L12/741; H04L45/74"
"陈永乐; 山西辰星源科技有限公司","山西辰星源科技有限公司; 陈永乐","G06Q10/00; G06K19/06; G06K7/10"
"江西省电力科学研究院","江西省电力科学研究院; 国家电网公司","G06F19/00"
"国网信息通信有限公司","国家电网公司; 国网信息通信有限公司","H04L12/66; H04L12/28; G05B19/418"
"上海市电力公司; 上海久隆信息工程有限公司","上海市电力公司; 上海久隆信息工程有限公司国家电网公司","G06Q10/00; G06Q50/06; G06F17/30"
"安徽省电力公司滁州供电公司","安徽省电力公司滁州供电公司; 国家电网公司","G06Q10/06; H04L29/08"
"江苏省电力公司南京供电公司; 江苏苏源高科技有限公司","江苏省电力公司南京供电公司; 江苏苏源高科技有限公司国家电网公司江苏省电力公司","G06Q10/00; G06Q50/06"
"王仕杰; 于辉宏; 李大元","北京金源茂丰新技术开发有限公司","G06Q30/00; G06Q50/00; G06K19/06"
"山东电力研究院","山东电力研究院; 国家电网公司","H04L29/08; H04L29/06"
"河北省电力公司通信中心; 国家电网公司","河北省电力公司信息通信分公司; 国家电网公司; 河北省电力公司通信中心","G06Q10/06; G06Q50/06"
"王博; 于凯; 北京创源智泉科技有限责任公司","北京创源智泉科技有限责任公司; 王博","H04L12/58; G06K9/00"
"吉林省电力有限公司延边供电公司","吉林省电力有限公司延边供电公司; 国家电网公司","G06Q10/06"
"重庆市电力公司綦南供电局","重庆市电力公司綦南供电局; 国家电网公司","G06Q10/06; G06Q50/06"
"广东宇天科技有限公司; 浙江宇天科技股份有限公司江苏宇天新媒体技术有限公司北京创智通达信息咨询有限公司","广东宇天科技有限公司; 浙江宇天科技股份有限公司","H04L29/08; H04L29/06"
"深圳市同洲视讯传媒有限公司","深圳市同洲电子股份有限公司","G06F17/22"
"冀北电力有限公司计量中心; 深圳市科陆电子科技股份有限公司","国家电网公司; 冀北电力有限公司计量中心; 深圳市科陆电子科技股份有限公司","G01R35/04"
"深圳市妙趣工场信息科技有限公司","深圳市天拓立方通讯科技有限公司","G06F9/44"
"云南悦倪科技有限公司","深圳市佰维互联科技有限公司","G06Q30/02; H04W4/12"
"甘肃省电力公司风电技术中心","甘肃省电力公司风电技术中心; 国家电网公司","H04L12/24; G08C17/02"
"朱金荣","江苏煌明能源科技有限公司","G06F1/32"
"长兴县供电局","长兴县供电局; 国家电网公司","H04L12/26; H04L29/06"
"广西卫通汽车信息技术有限公司","广西领华数码科技有限公司","H04L29/08; B60R1/00"
"北京建飞科联科技有限公司; 方琳","方琳; 北京建飞科联科技有限公司","H04L29/06; H04L29/08; H04M1/725"
"张毅军; 吕品","吕品; 上海云视科技有限公司","H04L12/28; H04N7/10"
