"转让人","受让人","IPC分类号"
"吴建明","北京国信防伪技术有限公司","G06F17/60"
"深圳市粤丝实业有限公司","深圳市泛友投资有限公司","G06F3/023"
"新日本制铁株式会社","新日铁解法株式会社","G06F17/60; G06Q30/00"
"北京市赛得康通信技术有限公司","北京市以泰智和计算机网络技术有限公司","H04L12/28; H04L12/46; H04L29/06"
"深圳市宏网实业有限公司","深圳安网达网络技术有限公司","G06F15/16"
"盛年","深圳市上书文化传播有限公司","G06F17/22"
"三星信息系统美国公司","三星电子株式会社","H04L12/28; H04L29/06; H04L29/08"
"硅元有限责任公司","艾尔克利克公司","G06F17/60; G07F17/00; G06F17/30; G06K17/00; G06Q30/02; G06Q30/06; G06Q30/08"
"全权股份公司","派拉罗技术公司","G06F17/60; G06F15/163; G06Q30/00; G06Q40/00; H04L29/06; H04L29/08"
"昭和铝株式会社","昭和电工株式会社","G06F1/20; H01L21/48; H01L23/36; H01L23/367; H01L23/40; H01L23/467; H05K7/20"
"刘星","深圳安网达网络技术有限公司","G06F15/16; G06F13/24; G06F13/20"
"张巨洪","张巨洪朴显泽崔军蒋海涛","G06F12/14; G06F12/16"
"广进投资管理有限公司","乾坤烛有限公司","G06T11/20; G06F19/00; G06Q40/00; G09G"
"新华财经信息咨询有限公司","王宇","G06F17/00"
"徐梦兰","康毅系统整合股份有限公司","G06F12/16; G06F12/14"
"金明淑","株式会社买哆哆","G06F15/173; G06F17/60; G06F17/30; G06F15/16"
"陈克炯; 陈翠微陈春晖贺淑贞","陈克炯","H04L27/00; H04L5/00; H04B14/04"
"宏碁电脑股份有限公司","宏碁股份有限公司; 纬创资通股份有限公司","G06F15/16"
"E·G·纽曼; G·S·克里斯琴M·D·詹金斯","齐伯瑙特有限公司","G06F15/76; G01R1/02; G02B5/30; G02B27/00; G02B27/01; G06F1/16; G06F3/16; G10L15/10; G10L15/26"
"英国吉尔福德郡欧洲佳能有限公司; 欧洲佳能研究中心有限公司","卡农株式会社","G06F15/38; G06F17/00; G06F17/28; G06F17/30"
"宏碁电脑股份有限公司","宏碁股份有限公司纬创资通股份有限公司","G06F1/00; G01R31/00"
"马广岭; 穆念强","马广岭","G06F3/023; G06F19/00"
"硅图像有限公司株式会社东芝; 跨线桥有限责任公司; 株式会社东芝; MIPS技术公司","MIPS技术公司株式会社东芝; ARM海外金融有限公司; 株式会社东芝; 跨线桥有限责任公司","G06F12/08"
"株式会社东芝; 硅图像有限公司; MIPS技术公司; 跨线桥有限责任公司","株式会社东芝; MIPS技术公司; 跨线桥有限责任公司; ARM海外金融有限公司","G06F9/38; G06F9/30"
"硅图像有限公司; MIPS技术公司; 株式会社东芝; 跨线桥有限责任公司","MIPS技术公司; 跨线桥有限责任公司; 株式会社东芝; ARM海外金融有限公司","G06F9/38; G06F9/32"
"现代电子产业株式会社","易美可株式会社","G06F1/32; G06F1/26; G09G1/00"
"宏碁电脑股份有限公司; 杨智科技股份有限公司","纬创资通股份有限公司; 宏碁股份有限公司杨智科技股份有限公司","G06F13/00"
"中国中文信息学会","陶沙肖金卯程女范蒋顺炳; 华绍和","G06F3/023"
"中国中文信息学会","华绍和陶沙肖金卯程女范蒋顺炳","G06F3/023"
"宏碁电脑股份有限公司","纬创资通股份有限公司; 宏碁股份有限公司","G06F11/00; G06F17/00"
"电力技术革新股份公司","OVD基尼格拉姆股份公司","G06K19/16; B42D15/10; G02B5/18; G02B5/30; G03H1/04; G03H1/08; G03H1/16; G06K13/16; G06K19/06; G06K19/18"
"株式会社数码显示实验室","数字菓子付梓公司前川和義","H04L29/00; H04L29/06; H04L29/08"
"王陆一","西安秦川三和信息工程发展有限公司","G06F17/60"
"三菱国际有限公司","IP2H股份公司","H04L1/00; H04L29/02; H04B7/15; H04L29/06"
"明碁电脑股份有限公司","达方电子股份有限公司","G06F3/033; G06F3/044"
"旭丽股份有限公司","闳晖实业股份有限公司","G06F3/023; B29C69/00; B29K105/32; B29L31/46"
"爱尔斯戴尔有限公司","英瓦尔·瓦格纳","G06F3/00; G07F17/42; G07C9/00; G07F7/10; G07F7/00"
"索尼株式会社","索尼通讯网络股份有限公司","H04L29/10; G06F13/00; G06F17/00; G06Q10/00"
"日本电气株式会社","NEC化合物半导体器件株式会社","G06F17/50; H01L29/00; G06F19/00; G06Q50/00; G06Q50/04"
"四川佩协实业公司","四川中城网络发展股份有限公司","H04L12/00"
"约瑟夫·L·比莱利亚","维克闯公司","G06K9/00; H04N7/18; G01R31/00; G01N21/956; G01R31/309; G06T1/00; G06T7/00"
"媒体数位网络体系公司","马克罗韦森公司","G06F11/00; G06F21/22; G06F1/00; G06F21/00; G06F21/20; G06F21/12; G06F21/33; G06F21/44"
"瑞士电信公司; 瑞士电信(瑞士)股份公司; 瑞士电信流动电话公司","瑞士电信流动电话公司; 瑞士电信公司; 瑞士电信固网公司","H04Q7/38; H04W8/04; H04W8/06; H04W8/18; H04W8/26"
"新泻精密株式会社; 株式会社流畅研究所","新泻精密株式会社","G06F17/15; H03H17/00; G06F17/10; G06F17/17; G06T3/40"
"杭州富通集团有限公司; 杭州富通通信技术股份有限公司; 住电光纤光缆(深圳)有限公司","杭州富通昭和光通信股份有限公司; 住电光纤光缆(深圳)有限公司; 杭州富通通信技术股份有限公司","G06F17/30"
"深圳市艾柯电子有限公司","深圳市华阳微电子有限公司","G06K19/07"
"丹福斯有限公司","丹福斯海运系统公司","H04L12/40; G06F13/40; F15B21/00; F15B21/08; H04L12/437"
"西门子公司","因菲尼奥恩技术股份公司","H04L9/32; G06F12/14; G06F21/24; G09C1/00; H04L9/08; G06F21/60; G06F21/62"
"西北工业大学; 湖州奥利金高性能计算技术有限公司","湖州奥利金高性能计算机技术有限公司; 杭州奥利金并行计算技术有限公司","H04L12/28"
"北京视频方特科技开发有限公司","北京瀚华凯捷技术开发有限公司","G06F3/023"
"希尔德科股份有限公司","霍尼维尔股份有限公司","G06F11/32; H04N5/225; D21F7/00; D21G9/00; H04N7/18"
"桑纳拉斯麦脱信托有限公司; 德国捷德有限公司; 斯麦脱信托系统有限公司","斯麦脱信托系统有限公司; 捷佳德移动安全有限公司; 德国捷德有限公司","G06F1/00; G06F12/14; G06F21/64"
"DSPC以色列有限公司","DSPC技术有限公司","H04L27/30; H04L27/06; H04L1/02; H04B1/707; H04B1/7075; H04B1/7077; H04B1/708; H04B1/709"
"株式会社新世纪通信","SK泰力康姆株式会社","H04L27/00; H04J4/00; H03D7/00; H04B1/04; H04B3/00; H04B7/204; H04B7/208; H04J3/00; H04J13/02; H04J13/04; H04L27/26; H04L27/28; H04Q7/22; H04W36/38; H04W88/00"
"真实立体公司","英特尔公司","G06T11/40; G06T9/00; G06T15/50"
"RTO控股有限公司","普拉斯服装有限公司","G06F3/033; G06F1/16; G06F3/0346"
"三菱电机株式会社","恩益禧三菱电机视讯有限公司","G06F3/153; G06F1/32; G06F1/26; G09G1/00; H04N5/63; H04N5/68"
"迅利科技股份有限公司","厦门资盛科技发展有限公司","G06F3/00"
"巨龙信息技术有限责任公司","北京亿阳巨龙智能网技术有限公司","H04L29/02"
"宏碁电脑股份有限公司","宏碁电脑股份有限公司; 纬创资通股份有限公司","G06F1/16"
"株式会社次世代情报放送系统研究所; 株式会社理光","株式会社理光","G06F17/24; G06T11/60; G11B27/034; G11B27/34"
"王凌霄; 科胜讯系统有限责任公司; 克雷格·巴兰克张荣峰; 扎尔林克半导体V.N.股份有限公司; 莱克斯坦塞米有限公司","扎尔林克半导体V.N.股份有限公司; 西纳铁克斯股份有限公司; 科胜讯系统公司","H04L12/54; H04Q3/52; H04L12/413; H04L12/56; H04L29/06"
"海门科技国际公司","西加特科技有限责任公司","G06K7/00; G11B5/09; G11B20/10"
"汤姆森信息服务公司","奥姆杰奥有限公司","G06F17/60"
"诺尔股份有限公司","诺尔起重机系统有限公司","B66C1/00; B66C13/04; B66C13/06; B66C13/08; B66C13/18; B66C13/46; B66C13/48; B66C17/00; B66C17/20"
"通讯软件有限公司","美商·惠普公司","G06F13/00; G06F15/16; G06F12/00; G06F9/46; G06F15/173; G06F17/30"
"刘中华; 叶新林","北京青谷科技有限公司","G06F3/033; G06F3/043"
"R·艾伦·尼利; 因沃斯林克公司","因沃斯林克公司; BCE爱莫基斯技术公司","G06F17/60; G06Q20/40; G06Q30/04"
"凯斯、施勒和韦斯公司","马克罗证券研究有限公司","G06F17/60; G06F19/00; G06G7/52; G06Q40/00; H04L29/06"
"汉斯·鲁道夫·斯特灵","伊塞特切有限公司","G06F3/02; G06K11/16; G06F3/0354; G06F3/041"
"株式会社奥普特罗姆","金世纪国际有限公司","G06T1/00; H04N5/765; G06T11/60; H04N5/781; H04N5/91"
"艾伦·芬克尔斯坦","蓝思卡特有限公司","G06K19/04; G06K19/077; B42D15/10; B29C43/18; B29C59/02; G02B3/00; G02B3/08; G02B25/00; G06K19/00"
"长春鸿达信息技术有限公司","长春鸿达高技术集团有限公司","G06K17/00; B42D15/10; B42D25/23; B42D25/40"
"周隆珊","周长俊","G06F17/00"
"张丁懋; 詹至为","詹至为","G06F17/60; G06F17/30"
"郑光均","哈特默尔网络有限公司; 阿莱斯弗勒尔有限公司","H04L12/28; G06Q50/00; H04L12/64"
"斯蒂芬·塞茨; 西洛·韦格尔迪特马·赖特","斯坎诺瓦有限责任公司","G06T7/00; G06T1/00; H04N5/225; H04N13/00; H04N13/254; H04N13/221"
"陶氏化学公司","陶氏环球技术公司","G06F9/45; G05B19/25; G05B19/05; G05B19/042; G06F11/00; G06F11/16"
"敦晖科技股份有限公司","敦南科技股份有限公司","H04N1/00"
"李埈瑞; 李京录","戴特尼克斯有限公司","G06F15/173; G06F9/445; G06F13/00; G06F3/048; G06F15/16; G06F94/45"
"线上丝路图书股份有限公司","普世印务技术开发股份有限公司","G06F17/60"
"皮图西界面株式会社","BtoC美国股份有限公司","G06F17/60; G06Q10/00; G06Q30/00"
"权基澈","株式会社内奥德; 权基澈","G06F19/00; A61B5/00; G06F159/00"
"毛远青","钟民","G06F15/173; G06F17/60; G06F15/16"
"徐玉麟","徐玉麟郑开颜邓伟强; 郑开颜邓伟强; 徐玉麟","G06F13/38; G06F17/30; G06F9/46"
"腾研科技股份有限公司","群鼎视讯科技股份有限公司","G06F3/02"
"宏碁电脑股份有限公司","纬创资通股份有限公司; 宏碁电脑股份有限公司","G06F17/60"
"常促宇","北京先锋博创科技发展有限公司","G06F9/46; G06F13/38"
"伊诺瓦特尔公司","塞格特尔集团有限公司","H04L12/28; H04L12/24; H04L12/14; G06F13/00; G06F17/30; G06Q30/00; H04L29/12"
"三洋电机株式会社","富士电机株式会社","G06F17/60; G06F15/163; G07F9/00; G06Q10/00; G06Q10/06; G06Q30/06; G06Q50/00; G07F5/18; G07F17/00; G07F17/30; G10K15/02"
"北京慧讯信息技术有限公司","北京普天慧讯信息技术有限公司","G06F17/00"
"杭州宏软计算机通信技术有限公司","王强宇","G06F15/02"
"王海鹰","王小芹","G06F15/02; G06F1/00"
"香港科技大学","袁铭辉; 王昌凌郑家杰","G06T11/00; G06T15/00"
"马科尼通讯有限公司; 马科尼英国知识产权有限公司; M(DGP1)有限公司","马科尼英国知识产权有限公司; M(DGP1)有限公司; 爱立信股份有限公司","H04L5/20; H04J3/00; H04J3/04; H04J3/18"
"马科尼通讯有限公司; M(DGP1)有限公司; 马科尼英国知识产权有限公司","马科尼英国知识产权有限公司; 爱立信有限公司; M(DGP1)有限公司","H04L5/26; H04J3/16; H04J3/00; H04B7/26; H04J3/06"
"黄宗炤; 黄宗炯","广州黄码软件科技有限公司; 黄宗炤","G06F3/023"
"北京晓军办公设备有限公司","唐亚伟","G06F3/023; G06F3/00; G06F3/01"
"普达寇有限责任公司; 艾鲁奈克斯IP控股有限公司; 艾鲁奈克斯技术公司","英普罗II特许有限公司; 普达寇有限责任公司; 艾鲁奈克斯IP控股有限公司","G06F15/16; G06F15/76; G06F13/00; H02J7/00; H04Q1/00; H04M11/00; G06F1/26; G06F1/00; G06F1/16; G06F1/20; G06F3/033; G06F3/048; G06F13/40; G06F15/02; G06F21/00; G06F21/22; H04M1/247; H04M1/275; H04M1/725; H04M3/42; H04M11/06; H04N1/00; H04N1/195; H04Q7/32; H05K5/02; H04M1/72415"
"大宇电子株式会社; 株式会社大宇电子","株式会社大宇电子; 枫叶视野技术公司","G06F5/06; G11C7/00; G06F11/10; G11C29/00; H03M13/00"
"哈里公司","特尔特罗尼克斯公司","H04L12/02; H04Q3/545; H04Q11/04"
"大宇电子株式会社","株式会社大宇电子","G06F11/00; G06F13/00; G06F1/24; G06F1/04; G06F13/42; H03L7/14"
"旭化成株式会社; 旭化成工业株式会社","古荘纯次; 旭化成株式会社","G06F17/00; C10M171/00; G06F3/00; G06F3/01; G06F17/40; G06N7/06; G06T17/00"
"服装定做技术公司","莱威斯特劳斯公司","G06F15/00; G06F17/00; D06H7/00; A41D3/00; A41H1/10; A41H3/00; G06F17/50; G06Q50/00"
"华康科技开发股份有限公司","威锋数位开发股份有限公司","G06F17/21"
"富士通株式会社","富士施乐株式会社","G06K15/10; B41J11/20; B41J25/308"
"日本电气株式会社","日本电气株式会社恩益禧电子股份有限公司","G06F12/00; G06F12/06; G06F12/14; G09G3/04; G09G5/393"
"合泰半导体股份有限公司","盛群半导体股份有限公司","G06F12/06"
"IP-TPG控股有限公司","IPM国际股份有限公司","G06K7/00; H04M17/02; G11B19/00; H04M17/00"
"日本电气株式会社","恩益禧电子股份有限公司","G06F17/60"
"切尼软件国际销售公司","电脑相关想象公司","G06F12/02; G06F17/30; G06F12/00; G06F12/08"
"旭丽股份有限公司","光宝科技股份有限公司","G06F3/023"
"梅塔控股有限公司","符号技术公司","G06K7/10; G06G7/00; G01J3/10; G01J3/28; G01J3/51; G01J5/08"
"田宇","通鉴防伪科技有限公司","G06K7/00"
"精工爱普生株式会社; 株式会社吉姆帝王","精工爱普生株式会社","G06F3/00; G06F3/01; G06F3/023"
"株式会社数码显示实验室","索尼公司","H04L29/06; H04N7/10; H04L29/08; H04N1/32"
"株式会社数字视觉实验室","数字菓実付梓公司前川和义","H04L12/24"
"松下电送株式会社","松下通信系统设备株式会社","H04L12/58; H04N1/00; H04N1/32; H04N1/327"
"马科尼英国知识产权有限公司; M(DGP1)有限公司; 马科尼通讯有限公司","M(DGP1)有限公司; 爱立信股份有限公司; 马科尼英国知识产权有限公司","H04L1/24; H04L1/20; H04J3/00; H04J3/06; H04J3/07; H04L7/08; H04L29/14; H04Q11/04; H04L69/40"
"株式会社大宇电子; 大宇电子株式会社","枫叶视野技术公司; 株式会社大宇电子","H04L7/00; H03H17/00; H03H17/06; H04L7/02; H04L25/17; H04L27/22; H04L27/38"
"皇家菲利浦电子有限公司","塞尔隆法国股份有限公司","G06F17/30; H04M1/21; H04M1/00; H04M1/274; H04M1/2745; H04M1/2748"
"日本电气株式会社","恩益禧电子股份有限公司; 日本电气株式会社","G06F17/50; H01L21/82; H01L27/00"
"尼古莱伊·安得烈耶维奇·莫尔多维安; 亚历山大·安得烈耶维奇·莫尔多维安","尼古莱伊·安得烈耶维奇·莫尔多维安波得·安得烈耶维奇·莫尔多维安莫斯科市电话总公司; 亚历山大·安得烈耶维奇·莫尔多维安","H04L9/20; H04K1/02; G09C1/00; H04L9/06"
"恩益禧电子股份有限公司; 日本电气株式会社","日本电气株式会社; 恩益禧电子股份有限公司","G06F12/00; G06F12/14"
"西门子公司","因芬尼昂技术股份公司","G06K19/07; G06K7/08; G06K7/00; G06K7/10; H04L27/06"
"北京中自汉王科技公司","北京汉王科技有限公司","G06F17/28"
"深圳市迅时实业有限公司","北京恒基伟业电子产品有限公司","G06F15/02; G06F17/60"
"国家科研中心","卢米洛格股份有限公司","C30B25/02; H01L33/00; C30B29/40; C30B29/38; H01L21/20; H01S5/323"
"无敌科技(西安)有限公司","英业达(上海)有限公司","G06F3/14"
"傅承武; 北京中数博文信息科技有限公司","北京中数博文信息科技有限公司; 普天信息技术研究院","G06F3/023"
"西伯班克株式会社","阿尔法洛吉克斯有限公司","G06T3/00; G06T9/20; G06T9/00; G09C5/00; H04L9/32; H04L9/34; H04N1/387"
"阿迪温高技术有限公司","阿沃梅迪亚控股股份公司","G06K19/08; G06K19/06; G11B7/24; B42D15/10; G06K19/04; G11B7/0033; G11B7/26; G11B23/00"
"马科尼通讯有限公司; M(DGP1)有限公司; 马科尼英国知识产权有限公司","马科尼英国知识产权有限公司; 爱立信股份有限公司; M(DGP1)有限公司","H04L12/42; H04J3/00; H04J3/08; H04J3/14; H04Q11/04"
"林昌鑫","富尔特科技萨摩亚股份有限公司","H04L12/00; G06F19/00"
"尤尼斯菲尔网络有限公司; 尤尼斯菲尔解决方案公司","杜松网络公司; 尤尼斯菲尔网络有限公司","H04L12/46; H04Q11/04; H04L12/56; H04J3/02; H04J3/22; H04L12/28"
"矽感微讯公司; 矽感微讯光电科技(深圳)有限公司; 深圳矽感科技有限公司","深圳矽感科技有限公司; 武汉矽感科技有限公司","G06K9/20; H04N1/04; H04N1/48"
"尤尼斯菲尔解决方案公司; 尤尼斯菲尔网络有限公司","尤尼斯菲尔网络有限公司; 杜松网络公司","H04L12/56"
"日本电气株式会社; 理光系统开发株式会社","理光系统开发株式会社","H04L9/30; G09C1/00; H04L9/32"
"西科姆公司","英特西尔美国公司","H04L27/36; H04L27/20; H04L1/00; H04L25/03; H04L27/26; H04L27/34"
"矽感微讯公司; 深圳矽感科技有限公司","矽感科技(深圳)有限公司; 武汉矽感科技有限公司","G06F1/16; G06C29/00; G06T1/00; H04N1/00; H04N1/107; H04N1/12; H04N1/193"
"株式会社建伍TMI; 株式会社建伍","利达电子株式会社; 株式会社建伍","H04L27/18; H04L27/22; H04L1/00; H04L1/24"
"杭州华盛微电子有限公司","苏州市华芯微电子有限公司","G06F9/38; G06F9/28"
"三菱电机半导体系统株式会社; 三菱电机株式会社","三菱电机半导体应用工程株式会社; 三菱电机株式会社","G06F12/16; G06F12/00; G06F12/02; G06F15/78; G11C16/02; G11C16/10"
"杭州南望电力科技有限公司","浙江南望图像信息产业有限公司","G06F13/00"
"立生半导体股份有限公司; 易亨电子股份有限公司","易亨电子股份有限公司; 达尔科技股份有限公司","G06K19/067"
"PC多媒体公司","斯快尔派公司","G06F17/30; G06F19/00; G06F19/16; G16B15/00"
"红石通信公司","朱尼普尔网络有限公司","H04L12/56; H04L45/74"
"泛泰·科力特株式会社; 泛泰财产管理公司; 海尼克斯半导体公司","株式会社泛泰; 泛泰株式会社; 居里泰尔公司","H04L29/10; H04B7/24; H04B7/005; H04L1/00; H04L12/28; H04L12/56; H04W52/04; H04W52/50; H04W52/52; H04W52/54; H04W84/14; H04W88/02"
"中国普天信息产业集团公司; 普天信息技术研究院有限公司; 中国普天信息产业股份有限公司","普天信息技术研究院; 中国普天信息产业股份有限公司; 普天信息技术研究院有限公司","H04L12/66; H04L29/06"
"德国宇航中心协会; 希勒及合伙人公司","德国宇航中心协会","G06Q10/00; G06Q10/02"
"连世雄","宏连国际科技股份有限公司","G06F11/22"
"株式会社日立制作所; 日立建筑系统株式会社","株式会社日立制作所","G06F17/50; G06Q30/06; G06Q50/00; G06Q50/08"
"深圳市中兴集成电路设计有限责任公司","中兴通讯股份有限公司","H04L9/00"
"旭丽股份有限公司; 光宝科技股份有限公司","光宝科技股份有限公司; 宇慕科技有限公司","G06K9/20"
"深圳市邮电金鸿联通信技术有限公司","深圳市鸿联高科信息技术有限公司","G06F17/30; G06K9/00"
"约翰·西姆斯; 诺尔·西姆斯","何姆瓦雷特有限公司","G06F17/60; A47G29/14; G06Q10/00; G07C9/00; G07F17/12"
"邵德子","邵德子; 孙生灵","G06F3/023"
"国际竞争力股份有限公司; 宇辰光电股份有限公司; 突破光电股份有限公司","突破光电股份有限公司; 宇辰光电股份有限公司; 纬创资通股份有限公司","G06F3/14"
"北京中易郑码新技术有限责任公司","兰德康郑珑; 兰的康郑珑","G06F17/00; G06F3/023"
"李伟民","李建民","H04L29/06; H04L12/66"
"李在元","仁荷大学","G06Q30/00"
"UPS邮政技术公司","美国联合包裹服务公司","G06F13/00; G06F15/16; G06F17/60; H04L9/00; H04L9/32; H04L12/00; G06Q10/08; G07B17/00; H04L12/58"
"艾林克斯株式会社","优密专利法律事务所","G06F17/60; G06F12/14; G06F12/00; G06F13/00; G06F17/30; G06F21/10; G06F21/62; G06Q10/00; G06Q50/00; H04L29/08"
"推进技术组公司; 埃里塔斯有限公司","GTECH全球服务有限公司; 推进技术组公司","H04L12/28; H04L29/06; G07F7/00; G06K7/00; G06F21/20; G06Q20/04; G06Q20/12; G06Q20/32; G06Q20/38; G06Q20/40; G06Q30/06; H04B7/26; H04L29/08; H04M3/493; H04W12/06; G06F21/32"
"深圳市中兴通讯股份有限公司上海第二研究所; 中兴通讯股份有限公司","深圳市中兴通讯股份有限公司; 海门市科技发展总公司","H04L12/56; H04L12/863"
"辛成福","科里特克有限公司","G06K9/00; G06T7/00; G06F21/20; G06F21/32"
"深圳市中兴通讯股份有限公司上海第二研究所; 中兴通讯股份有限公司","深圳市中兴通讯股份有限公司; 北京电力经济技术研究院; 国网北京市电力公司中国技术交易所有限公司","H04L12/54; H04L12/24; H04L12/741; H04L45/74"
"何娅玲; 吴裕伟","吴裕伟; 松讯达中科电子(深圳)有限公司","G06F3/023"
