"转让人","受让人","IPC分类号"
"华为终端(深圳)有限公司; 华为终端有限公司; 深圳市智信新信息技术有限公司","华为终端有限公司; 深圳市智信新信息技术有限公司; 荣耀终端有限公司","H04L12/56; H04W84/00"
"阿诺托知识产权许可贸易公司","阿诺托股份公司","G06F3/033; G06K11/06; G06K1/12; G06F3/042; G06F3/00; G06F3/03; G06F3/0354; G06F3/041"
"武汉红火焰建筑工程有限公司","内蒙古智通电力设备有限公司","G06Q10/0635; G06Q50/06; G06Q50/08; G01D21/02; G06T7/00; G06T7/62; G06V20/10; G06V20/17"
"苏州瑞盈科技有限公司; 云南电网有限责任公司昆明供电局","云南电网有限责任公司昆明供电局","G06F17/50"
"北京科东电力控制系统有限责任公司","国网电力科学研究院有限公司; 北京科东电力控制系统有限责任公司; 国网福建省电力有限公司; 国家电网有限公司技术学院分公司","H04L29/08; H04L29/12; H04L12/46; G06F9/455"
"李小平; 成都市览图科技有限公司","北京宏硕数通科技有限公司; 成都市览图科技有限公司; 李小平","G06T1/00; G06T3/04"
"厦姆技术有限公司","高通股份有限公司","G06F17/30"
"孙浩锋","深圳市宝德计算机系统有限公司","G06F1/26; G06F1/20"
"摩托罗拉解决方案公司; 摩托罗拉移动有限责任公司; 摩托罗拉解决方案英国有限公司","摩托罗拉移动有限责任公司; 谷歌技术控股有限责任公司; 摩托罗拉解决方案公司","H04L27/26; H04L27/00; H04J11/00"
"鸿富锦精密工业(深圳)有限公司; 鸿海精密工业股份有限公司; 南陵县生产力促进中心; 深圳市博尔普森科技有限公司","深圳市博尔普森科技有限公司; 中山市和恒网络软件有限公司; 南陵县生产力促进中心","H04L29/06; H04L29/10; H04L5/14"
"北京希格玛和芯微电子技术有限公司","天津希格玛微电子技术有限公司","G06F3/033"
"微芯片科技公司; 马夸特有限责任公司","微芯片科技公司","G06F1/3287; H04W52/02"
"上海晁嘉信息技术有限公司","上海庚感科技有限公司","G06F1/16; G06F1/20"
"国家电网公司; 北京许继电气有限公司","国家电网公司; 北京许继电气有限公司; 国网节能服务有限公司","G06Q10/04; G06Q50/06"
"桂林驰讯科技有限公司; 蒋明","广西数科院科技有限公司; 蒋明","H04L29/08; H04L29/06; H04B7/185"
"合肥国轩高科动力能源有限公司","上海国轩新能源有限公司","G06F9/48"
"南京讯天游科技有限公司","的卢技术有限公司","G06F11/36; G06F8/61"
"利昂媒体有限公司; MK系统美国控股有限公司; 瑞典爱立信有限公司; MK系统美国子控股有限公司","MK系统美国控股有限公司; MK系统美国子控股有限公司; 利昂媒体有限公司; MK系统美国公司","H04L29/08; H04W84/02; H04L67/104; H04L67/59"
"陈龙龙","吴伊曼","G06F16/22; G06F16/2458; G06F16/25; G06Q10/06; G06Q50/04"
"北京衡石科技有限公司","中关村科技租赁股份有限公司","G06F16/2453; G06F16/242; G06F16/31; G06F16/33"
"中交一航局安装工程有限公司","中交一航局安装工程有限公司; 中交石油天然气管道工程有限公司","G06F21/76"
"黑龙江鼎梦科技有限公司","黑龙江省乾昇科技有限公司","G06F1/18; G06F1/20"
"江苏建筑职业技术学院","徐州市政建设集团有限责任公司","G06Q10/0635; G06Q10/10; G06Q50/08"
"合肥名龙电子科技有限公司; 成都信息工程大学","河南省喜来康生物科技有限公司; 合肥名龙电子科技有限公司","G06F21/60; G06F16/27; G06F21/64; G06F18/241"
"高德软件有限公司","阿里巴巴(中国)有限公司","G06F17/30; G06F17/28; G06F3/023"
"北京金茂绿建科技有限公司","金茂健康科技(南京)有限公司","G06F3/041"
"张荣富; 天津华建智控技术有限公司","苏州易凌顶网络科技有限公司; 张荣富","G06F3/041; F16F15/067; B08B1/00"
"武汉众联信息技术股份有限公司","武汉众廉科技有限公司","H04L29/08"
"柳丽琴","上海华苑斯码特信息技术有限公司","G06K19/077"
"东南大学","丰实教育科技(北京)有限公司","G06F19/00; A61B5/0476"
"合肥龙智机电科技有限公司; 浙江机电职业技术学院","山西煜东信达科技有限公司; 合肥龙智机电科技有限公司","H04L67/12"
"谷歌有限责任公司","瑞典爱立信有限公司","G06F3/00"
"北京中科算源技术发展有限公司; 中国科学院计算技术研究所","北京中科通图信息技术有限公司; 北京中科算源技术发展有限公司","G06F17/30"
"陈如请","上海钱拓网络技术有限公司","G06F1/20; B01D46/12"
"海南火链科技有限公司","衡阳雁城区块链研究院","G06Q30/02"
"钰深(北京)科技有限公司","北京种花云服科技股份公司","G06T11/20"
"第四层联合公司; 活力震动公司","通用动力学工程公司; 第四层联合公司","G06F17/00; G06F7/00; B60G17/08; B60G23/00; F16F7/10; F16F15/02"
"深圳市合触科技有限公司","贾恩海","G06F3/0354; G06F3/046"
"深圳泓越信息科技有限公司; 宁波大学","武汉众诚华鑫科技有限公司; 深圳泓越信息科技有限公司","G06F16/9535; G06V40/16; G06F21/32"
"重庆文理学院","佛山市塞外科技有限公司","G06Q10/0631; G06V40/18; G06V40/16; G06V40/20; G06V40/40; G06V10/82; G06N3/048; G06N3/084; G06F3/01; G06F21/32; G07C9/37; G06Q50/04"
"保定竹麓网络科技有限公司; 深圳尚格知识产权服务有限公司; 保定鼎信知识产权代理有限公司; 华为技术有限公司","南通誉力智能装备有限公司; 保定鼎信知识产权代理有限公司; 保定竹麓网络科技有限公司; 深圳尚格知识产权服务有限公司","H04L12/56; H04L12/66; H04Q7/20; H04L12/14; H04L12/24; H04L29/06; H04W4/24"
"重庆邮电大学","南方电网互联网服务有限公司","G06F40/289; G06F16/33"
"广东星徽精密科技有限公司; 广东星徽精密制造股份有限公司","广东星徽精密科技有限公司; 江苏星徽精密科技有限公司","G06F1/18"
"成都其联科技有限公司","重庆理想档案管理服务有限公司","H04L29/08; H04B5/00; G08C17/02; G01D21/02"
"平安普惠企业管理有限公司; 深圳市联创知识产权服务中心","深圳市联创知识产权服务中心; 山西数字政府建设运营有限公司","G06F21/62; G06F18/214; G06F18/2431"
"江苏任务网络科技有限公司","江苏大道云隐科技有限公司","G06F21/32; G06F21/33; G06F21/60; G06F21/64; H04L9/40"
"努比亚技术有限公司","江苏康裕企业管理咨询有限公司","G06F3/04817; G06F3/0483; G06F3/04845; G06F3/0488; G06F9/451"
"南京瑞萌萌商贸有限公司","张云亮","G06F1/18; G06F1/20"
"成都新舟锐视科技有限公司","江苏智瞄数码科技有限公司","G06K9/62; H04N7/18"
"赵建东; 苏州君嬴电子科技有限公司; 杭州士兰控股有限公司","杭州芯讯科技有限公司; 赵建东; 苏州君嬴电子科技有限公司","H04L29/08; H04L29/06"
"天津龙翰科技有限公司","豆乐科技(西安)有限公司","H04L12/66; H05K7/20"
"北京顺智信科技有限公司","百融至信(北京)科技有限公司","G06T7/246; G06T7/73"
"重庆邮电大学","武汉皓泽信息技术有限公司","G06K9/00; G06K9/34; G06K9/46; G06K9/62"
"李聪","中山市黙拜尔网络科技有限公司","G06F1/16"
"哈工大机器人(合肥)国际创新研究院","安徽领云物联科技有限公司","G06Q10/00; G06F40/289; G06F17/18; G06Q50/10"
"中国医学科学院生物医学工程研究所","天津协医科技有限公司","A61B5/02"
"国家电网公司; 中国电力科学研究院; 国网上海市电力公司; 国网湖北省电力公司信息通信公司","国家电网公司; 中国电力科学研究院; 国网智能电网研究院; 国网上海市电力公司; 国网湖北省电力公司信息通信公司","H04L12/24"
"刘鸿达; 昆山超绿光电有限公司; 佛山中达鸿创科技有限公司","昆山超绿光电有限公司; 佛山中达鸿创科技有限公司; 深圳易加仁技术有限公司","G06F3/044"
"兖矿能源集团股份有限公司","兖矿能源集团股份有限公司; 山东科技大学","G06V20/52; G06V10/80; G06V10/44; G06V10/82; G06V10/34; G06V10/26; G06V10/24; G06N3/045; G06N3/0464"
"广东工业大学; 广州秉优智能科技有限公司","广州秉优智能科技有限公司","G06T17/00; G06T17/20; G06V10/26; G06V10/40; G06V10/762"
"严建山; 嵊州市百恩贸易有限公司","嵊州市百恩贸易有限公司; 淮安市雨秀食品有限公司","A61K31/352"
"刘连英","唐旸","G06K9/00; G06F40/284; G06F40/253; G06F40/117; G06K9/46; G06N3/04; G06T7/12; G06T7/13; G06T15/08; G06T17/00"
"深圳市友联亨达光电有限公司","东莞市友联亨达光电有限公司","G06F3/041"
"何文刚","西安智慧时代信息科技有限公司","H04L9/40"
"中国移动通信集团四川有限公司","咪咕音乐有限公司; 咪咕文化科技有限公司; 中国移动通信集团有限公司","G06F17/30"
"太仓日森信息技术有限公司","盐城吉大智能终端产业研究院有限公司","H04L29/08; H04L29/06; H04N21/4363; H04N21/61; H04N21/647; H04W84/12"
"北京智能果技术有限公司; 郑州坤博科技有限公司; 许冰","郑州坤博科技有限公司; 许冰; 徐加庆","G06Q20/38; G06F3/0484; G06F21/31"
"肇庆学院","肇庆市冠卓传媒科技有限公司","G06T17/00; G06T7/33"
"惠州TCL移动通信有限公司","陕西蓝图空间数字科技有限公司","G06F3/01"
"嵊州领航信息科技有限公司","日照新睿招商发展有限公司","B65F1/14; B65F1/16"
"南京源兴智达信息科技有限公司","湖北广兴通信科技有限公司","H04L27/26; H04L67/12"
"河南农业大学","杭州瓦屋科技有限公司","G06T17/00; G06T19/00"
"广西科技大学; 龙图腾网科技(合肥)股份有限公司","龙图腾网科技(合肥)股份有限公司; 深圳市智森科技设计有限公司","G06T3/00; G06T7/66; G06T7/11; G06V10/28; G06V10/75; G06K9/62"
"北京奇艺世纪科技有限公司","重庆爱奇艺智能科技有限公司","G06F3/01"
"北京爱国者知识产权服务有限公司; 爱国者数码科技有限公司","京东方科技集团股份有限公司; 北京爱国者知识产权服务有限公司","G06F1/16"
"北京英迈琪科技有限公司","深圳市贝格蓝斯科技有限公司","G06T7/11; G06T7/136; G06T7/194; G06T7/90; G06T5/00"
"曹祝明; 佛山市伟嘉环保科技有限公司","天津梧桐木科技有限公司; 曹祝明","G06T5/90; H04N7/18; G06T5/73; G06T5/60; G06N3/048; G06N3/08; G06Q50/02"
"国家广播电影电视总局广播科学研究院; 张军坦; 李薰春; 孙凤文","国家广播电影电视总局广播科学研究院","H04L27/18; H04L1/00"
"国网陕西省电力公司宝鸡供电公司","国网陕西省电力有限公司宝鸡供电公司; 国网(西安)环保技术中心有限公司","G06T7/00; G06T7/11; G06T7/136; G06T7/155"
"烟台惠通网络技术有限公司","山东艾欧特投资集团有限公司","H04L29/08; H04W4/00"
"平安普惠企业管理有限公司; 郑旭纯","郑旭纯; 春华教育科技集团有限公司","G06F8/60"
"雷丁大学","詹姆斯·安德森","G06F15/82"
"北京焦点新干线信息技术有限公司","成都博点科技有限公司","H04L29/06; H04L29/08"
"北京安云世纪科技有限公司; 北京奇虎科技有限公司","北京奇虎科技有限公司; 北京安云世纪科技有限公司","G06F21/62"
"诸暨市智盈智能技术服务部","鑫长德科技技术有限公司","G06F1/20"
"成都鼎智汇科技有限公司; 广州博鳌纵横网络科技有限公司","广州博鳌纵横网络科技有限公司; 上海共创信息技术有限公司","H04L29/06; H04L9/32; H04L9/08; G06F21/55"
"贵州电网有限责任公司; 南方电网数字电网研究院股份有限公司","南方电网数字电网研究院股份有限公司","G06Q10/06; G06Q50/06; H02H1/00; H02J13/00"
"陕西省水利电力勘测设计研究院","陕西省水利电力工程咨询有限责任公司","G06Q10/0631; G06Q10/04; G06Q50/06"
"武汉华亚兴通信息技术有限公司","华中师范大学","G06F21/10; G06F21/60"
"苏州龙诺法智能科技有限公司","常熟市浙大紫金光电技术研究中心","G06F17/28; G06K9/20"
"诺基亚公司; 诺基亚技术有限公司","诺基亚技术有限公司; 三星电子株式会社","H04L12/861; H04N21/643; H04N21/44"
"广东广联电子科技有限公司; 广州广联数字家庭产业技术研究院","广东广联电子科技有限公司; 中国电子科技集团公司第五十四研究所","H04L12/28; H04N21/434"
"武汉大学; 深圳市卓尔电子材料有限公司","深圳市卓尔电子材料有限公司; 江苏穿越光电科技有限公司","H01L33/14; H01L33/20; H01L33/32; H01L33/06; H01L33/00"
"智力科学; 研究室股份公司; Sk; 电信有限公社","SK 电信有限公社","G06Q50/20; G06Q50/00"
"北京格灵深瞳信息技术有限公司","驭势科技(北京)有限公司","G06T7/70"
"武汉阿杜拉电子商务有限公司","上海读客数字信息技术有限公司","G06Q30/06; G06Q30/02; G06F40/289"
"河南硕翔信息技术有限公司","中咨数据有限公司; 中国公路工程咨询集团有限公司","G08G1/01; G08G1/052; G08G1/065; H04L67/5682"
"清华大学深圳国际研究生院","深圳市喜尔乐科技有限公司","G06F16/9535; G06F16/9536"
"中国科学院自动化研究所","鹏雄实业(深圳)有限公司","G06F3/00; G06F19/00"
"国际商业机器公司","东方概念有限公司","G06F17/30"
"张鑫","兰州财经大学陇桥学院","G06F1/20; G06F11/30"
"北京微点科学技术有限公司","北京微点科学技术有限公司; 微点码(辽宁)科技有限公司","G06K19/06; G06Q30/018; H04N1/44; H04L9/06; H04L9/32"
"西安理工大学","青岛类认知人工智能有限公司","G06V40/10; G06V10/44; G06V10/50; G06V10/56; G06V10/80; G06V10/82; G06N3/04; G06N3/08"
"华南理工大学","广东履安实业有限公司","G10L15/02; G10L15/06; G10L15/22; G10L15/26; G10L25/30; G10L25/63; G06F16/35; G06F40/30; G06F40/289; G06N3/04; G06N3/08"
"沈阳理工大学","中科智瑞(北京)科技有限公司","G06K9/46"
"上海斐讯数据通信技术有限公司; 湖州丰源农业装备制造有限公司","湖州丰源农业装备制造有限公司; 罗笔成","H04L29/06"
"莱芜职业技术学院","合肥智慧龙机械设计有限公司","G06T7/00"
"深圳中科育成科技有限公司; 中国科学院深圳先进技术研究院","深圳中科骏飞科技有限公司; 深圳中科育成科技有限公司","G06Q10/00; G06Q10/06"
"陈士县","安徽网动车簇汽车清洁服务有限公司","G06Q10/06; G06Q50/10"
"深圳达实智能股份有限公司; 深圳达实软件有限公司","深圳达实软件有限公司; 深圳达实物联网技术有限公司","G06F13/00"
"杭州弈鸽科技有限责任公司; 杭州智达融信科技有限公司","杭州智达融信科技有限公司; 中科智云(南京)科技有限公司","H04L12/26; H04L29/06"
"蒂蒙系统公司","黑莓有限公司","G06F17/30; H04L12/28; H04L12/58; H04L29/06"
"北京神州数码云科信息技术有限公司; 安吉县安信信息有限公司; 吴红平","北京神州数码云科信息技术有限公司; 神州鲲泰(厦门)信息技术有限公司; 吴红平","G06F1/20; G06F1/18"
"山东蓝客信息科技有限公司","山东省戴庄医院(山东省安康医院、济宁市精神卫生中心)","G06Q20/40; G06V40/12; G06V10/74; G16H40/20"
"宜昌湖蓝科技开发有限公司","万子健检测技术(上海)有限公司","G06Q10/06; G06Q50/26; G06F17/11; G01N33/18"
"崔岩; 珠海市四维时代网络科技有限公司","珠海市四维时代网络科技有限公司; 中德(珠海)人工智能研究院有限公司","G06T17/00; G01B11/25"
"苏州原子图腾纳米材料有限公司","昆山达富久新材料科技有限公司","G06F1/20"
"上海爱购智能科技有限公司","上海倍塔曼智能科技有限公司","G06V40/10; G06K17/00; G06T7/292; G06T7/70; G07C9/27; G06V40/20; G06V10/62; G06V10/82"
"东莞盟大集团有限公司","广东工业大学; 东莞市盟大数据科技有限公司","G06F8/20; G06F8/41; G06N5/02"
"山东中信智联智能科技有限公司","聊城市芯享云大数据科技有限公司","G06F3/06; G06F11/10; H04W88/02"
"华南理工大学","华南理工大学; 广州创之力智能科技有限公司","G06T7/00; G06V10/762; G06V10/20; G06V10/82"
"戴尔菲技术公司","APTIV技术有限公司","G06T7/277; G06T7/80"
"中安消技术有限公司; 盐城漫澜信息科技服务有限公司","盐城漫澜信息科技服务有限公司; 郯城县新区建设发展有限公司","G06T5/00"
"徐先平","广州市亿彩天虹光电科技有限公司","H04L12/771; H04L45/60"
"国家电网公司; 湖北科能电力电子有限公司","国家电网公司; 国网湖北省电力公司荆州供电公司; 湖北科能电力电子有限公司","G06K9/00; G06K9/62"
"盐城哈力动力传动及智能装备产业研究院有限公司","盐城永安科技有限公司","G06K9/00; F16M11/04; F16M11/06; F16M11/08; F16M11/18; F16M11/22"
"中国科学院高能物理研究所","杭州高能医疗设备有限公司","G06T5/00"
"段照洋","段照洋; 靳云奎","G06F3/033; G06F3/0354"
"山东师范大学","西安圣心安诺心理咨询有限公司","G06F40/295; G06F40/205; G06F40/253; G06N3/0464; G16H10/60"
"NXP股份有限公司; 英属开曼群岛商泰鼎微系统股份有限公司","英属开曼群岛商泰鼎微系统股份有限公司; 熵敏通讯公司","G06K9/46; G06T7/00; G06T5/00"
"立德高科(北京)数码科技有限责任公司","湖南泰利恒友科技开发有限公司","G06K19/06; G06K7/00"
"武汉斗鱼网络科技有限公司","深圳市邦友大数据服务有限公司","G06F16/957"
"诺基亚公司","斯比德航海有限公司","H04L29/12; H04M7/00; H04L12/56; H04L12/64; H04L12/66; H04L29/06; H04L29/08; H04M3/00; H04M3/42"
"复旦大学","复旦大学; 星环信息科技(上海)股份有限公司","G06F11/36; G06F16/2452"
"滁州名升电脑科技有限公司","苏程","G01C9/00; G06F18/241; G06F18/214; G06F18/15; G06N3/0985; G01C9/02"
"苏州同程旅游网络科技有限公司","同程网络科技股份有限公司","G06F17/30"
"方蓉; 成都安瑞芯科技有限公司","成都大超科技有限公司; 方蓉","G06V40/13"
"泰州市康平医疗科技有限公司; 安徽省徽腾智能交通科技有限公司泗县分公司","安徽省徽腾智能交通科技有限公司泗县分公司; 中环联合(北京)认证中心有限公司","G06K9/00; G06K9/36; G06K9/46"
"鸿富锦精密工业(深圳)有限公司; 鸿海精密工业股份有限公司","鸿富锦精密电子(天津)有限公司; 鸿海精密工业股份有限公司","G06F11/22; G06F9/445"
"铜仁学院","铜仁致用科技有限公司","G06Q10/06; B08B3/02; B08B1/00"
"湖州优研知识产权服务有限公司; 宁波大学; 黑龙江仁芯众康生物科技有限公司; 黑龙江优护健康科技有限公司; 广州煜景科技服务有限公司","广州煜景科技服务有限公司; 湖州优研知识产权服务有限公司; 哈尔滨裕昇科技发展有限公司; 黑龙江仁芯众康生物科技有限公司; 黑龙江优护健康科技有限公司","G06T7/00"
"辐射网络公司","英特尔公司","H04L12/56; H04B7/26; H04L12/00; H04L12/28; H04L12/70; H04L12/701; H04L12/707; H04L12/717; H04Q11/04; H04W16/14; H04W28/04; H04W40/06; H04W40/22; H04W88/04; H04L45/24; H04L45/42"
"捷开通讯(深圳)有限公司","拉萨新起点文化传播公司","G06F21/88; G06F21/35"
"王琼玮","广州华云智能科技有限公司","G06F1/16"
"泰州清润环保科技有限公司; 聚智诚(东莞)科技有限公司; 广东聚智诚科技有限公司; 江苏汇智达信息科技有限公司","聚智诚(东莞)科技有限公司; 广东聚智诚科技有限公司; 柒壹标准技术研究(广东)有限公司; 泰州清润环保科技有限公司","G06F16/13; G06F16/182; G06F16/11"
"北京工商大学","龙图腾网科技(合肥)股份有限公司","G06F16/2458; G06F16/26"
"清华大学; 北京清华长庚医院","北京精诊医疗科技有限公司","G06T7/12"
"杜伯仁; 韩凛露; 刘淑芳; 王凤立; 王润生; 吕琦","贵阳高登世德金融科技有限公司; 杜伯仁; 韩凛露; 刘淑芳; 王凤立; 王润生; 吕琦","H04L29/06; H04L29/08"
"苏州领佰思自动化科技有限公司","上海复旦微电子集团股份有限公司","G06F17/50"
"常山来博科技服务有限公司","深圳银宸科技有限公司","G06F3/02; B08B17/02; H01R13/72; H05B3/20; F21V33/00"
"中科创达软件股份有限公司","南京中创盎赛软件科技有限公司","G06K9/62"
"龙图腾网科技(合肥)股份有限公司; 广西师范大学","山东莱易信息产业股份公司; 龙图腾网科技(合肥)股份有限公司","G06T7/30; G06T5/00; G06T1/20; G06T17/00"
"陕西微阅信息技术有限公司; 深圳光启合众科技有限公司","南京蓝米信息技术有限公司; 陕西微阅信息技术有限公司","G06N3/00"
"上海振华重工(集团)股份有限公司","上海振华重工(集团)股份有限公司; 中交公路长大桥建设国家工程研究中心有限公司","G06F17/50"
"北京安云世纪科技有限公司","北京奇虎科技有限公司","G06F16/54; G06F3/0481"
"福州鼓楼星阑科技合伙企业(有限合伙)","清控有数(福建)科技有限公司","G06K9/00; G06K9/20; A61L2/18; A61L2/26; G08B7/06"
"太极计算机股份有限公司; 贾晓丰; 高嵩","北京市大数据中心; 太极计算机股份有限公司","G06F21/60; G06F21/62"
"信通院(保定)科技创新研究院有限公司","中国信息通信研究院","G06F30/23; G06F30/17; G01M7/02; G06F119/14"
"南京信息工程大学","深兰科技(上海)有限公司","G06Q10/04; G06K9/64"
"上海勘测设计研究院有限公司","中国长江三峡集团有限公司; 中国三峡新能源(集团)股份有限公司; 上海勘测设计研究院有限公司","H02J3/32; G06F30/27; G06N3/04; G06N3/08; H02J3/00; G06F111/04; G06F113/04; G06F113/06; G06F119/02"
"安徽省徽腾知识产权股份有限公司; 福建农林大学","深圳市微克科技有限公司; 安徽省徽腾知识产权股份有限公司","G05B19/042"
"江西易卫云信息技术有限公司","南昌协达科技发展有限公司","G06K17/00; G06Q10/06; G06Q50/26"
"中山索立德科技有限公司","珠海意动智能装备有限公司","G06Q10/08; G06Q10/04"
"冯淑芳","国信金宏(成都)检验检测技术研究院有限责任公司","G06F21/71; G06F21/55; H04L9/40"
"哲库科技(北京)有限公司","OPPO广东移动通信有限公司","H04L1/00; G06F3/06"
"努比亚技术有限公司","广州通博信息技术服务有限公司","G06F1/16; G06F9/445"
"张建民","张建国","G06F17/40; G09B19/00"
"赵玉辉; 华为技术有限公司","李幼丽; 赵玉辉","G06F17/30"
"深圳尚格知识产权服务有限公司; 中兴通讯股份有限公司","射阳县兴桥红星纺织工业园管理有限公司; 深圳尚格知识产权服务有限公司","G06F9/46"
"上海拆名晃信息科技有限公司","海宁思核机器人有限公司","G06T15/00"
"伟摩控股公司; 谷歌公司","伟摩有限责任公司; 伟摩控股公司","G06K9/00"
"刘芳; 宝清县腾康网络科技有限公司","深圳市爱的番茄科技有限公司; 刘芳","H04L9/40; H04L67/131; A63F13/70; A63F13/33; G06F16/27"
"金哲","国家电网公司; 国网湖北省电力公司检修公司","G06Q50/06; G06Q10/06; G06Q10/04; G08B19/02"
"广东高航知识产权运营有限公司; 华为技术有限公司","李文燕; 广东高航知识产权运营有限公司","H04L12/807; H04L1/16; H04L1/18; H04L47/27"
"珠海阔朗科技有限公司","上海贤接新材料科技有限公司","G06V20/10; G06V10/26; G06V10/30; G06V10/40; G06V10/762; G06V10/764; G06T17/05"
"湖南匡楚科技有限公司","叶才青","G06K19/067"
"彭晓东; 谢文明","中科深维互感(北京)科技有限公司","G06F3/01; G06T19/00"
"南京大学","中储南京智慧物流科技有限公司","G06F19/00"
"哈尔滨工业大学; 哈尔滨工业大学国家大学科技园发展有限公司","哈尔滨工业大学国家大学科技园发展有限公司; 哈尔滨工大正元信息技术有限公司","H04L1/18; H04L1/00"
"南京汇编交通科技有限公司; 张浩; 王宇曦; 淮安科畅科技信息有限公司","南京汇编交通科技有限公司; 淮安科畅科技信息有限公司","G06F16/906; G06F16/2458"
"优酷信息技术(北京)有限公司; 阿里巴巴(中国)有限公司","阿里巴巴(中国)有限公司; 阿里巴巴(成都)软件技术有限公司","G06F17/30; G06Q10/04"
"乌斯特技术股份公司; 乌斯特技术(中国)有限公司","乌斯特技术股份公司","G06Q10/06; G06Q10/10; G06Q50/04"
"哈尔滨工业大学","无锡睿文科技有限公司","G06F17/30"
"北京邮电大学","奇安信科技集团股份有限公司","H04L29/06"
"北京海量融通软件技术有限公司","天津海纳媒体大数据科技发展有限公司","G06F17/30"
"北京每日优鲜电子商务有限公司; 北京每日优鲜科技有限公司; 鹤壁时雨绮罗电商有限公司","北京每日优鲜科技有限公司; 鹤壁时雨绮罗电商有限公司; 云图信息(吉林)股份有限公司","G06F16/904"
"中兴通讯股份有限公司","深圳市迪浦电子有限公司","H04L12/741; H04L45/74; H04L49/111; G06N20/00"
"中路高科交通检测检验认证有限公司","中路高科交通检测检验认证有限公司; 中路高科交通科技集团有限公司","G06F8/34; G06F30/13"
"孙智江","海迪科(南通)光电科技有限公司; 孙智江","H01L33/42; H01L33/00"
"海拓仪器(江苏)有限公司; 南京开江科技有限公司; 栾兴","南京开江科技有限公司; 海拓仪器(江苏)有限公司","G06F40/232; G06F40/289; G06F40/226; G06F40/284"
"管华明","百望股份有限公司","G06F16/21; G06F21/60; G06F21/57"
"太仓红码软件技术有限公司","北京中投视讯文化传媒股份有限公司","G02B27/01; G06K9/32"
"上海东软载波微电子有限公司","上海东软载波微电子有限公司; 青岛东软载波科技股份有限公司","G06F13/32; G06F13/42; H04L101/627"
"南京悦华电力科技有限公司","南京钛能电子科技有限公司","G06F13/42; G06F13/38"
"霍海楠","深圳八度光电科技有限公司","A61H3/06; A61F9/08; G08B21/04; G01S15/93"
"东莞市七宝树教育科技有限公司","蓝色匠士教育科技有限公司","G06V10/22; G06V30/40; G06Q50/20"
"鲁库斯无线公司","艾锐势企业有限责任公司","H04L12/705; H04W76/04; H04L45/18"
"杭州瓯仁数据智能有限公司; 浙江工业大学; 东兴明白跨境电子商务有限公司","东兴明白跨境电子商务有限公司; 杭州瓯仁数据智能有限公司; 广西睿卿智能科技有限公司","G06Q10/04; G06Q10/08"
"平安普惠企业管理有限公司; 深圳市联创知识产权服务中心","深圳市联创知识产权服务中心; 盛银数科(沈阳)技术有限公司","G06Q20/10; G06Q40/06"
"成都实瑞达科技有限公司","深圳市欧菲投资控股有限公司","G06K9/00"
"刘一琛; 努比亚技术有限公司; 安徽长极机械工业科技有限公司","安徽长极机械工业科技有限公司; 刘一琛; 苏州慕名信息技术有限公司","H04L12/24; H04L12/28"
"李彬寅","上海交通大学医学院附属瑞金医院","G06T11/00; G16H30/40; G06T7/70"
"浙江工商大学","浙江工商大学; 浙江宇视科技有限公司","G06K9/00; G06K9/62; G06N3/04; G06N3/08"
"国网浙江省电力有限公司绍兴供电公司; 国网浙江省电力有限公司; 杭州辰青和业科技有限公司","国网浙江省电力有限公司绍兴供电公司; 国网浙江省电力有限公司","G06F16/2458; G06F16/29; G06Q10/04; G06Q50/06"
"重庆先迈通信技术有限公司","重庆秒银科技有限公司","H04L29/08; H04L29/06; G06Q10/06"
"深圳小木科技有限公司","孙晖","G06V20/52; G06V10/80; G06K9/62; G06N5/04"
"索莫亚私人有限公司","思科技术公司","G06F1/04; G06F1/10; G06F1/12"
"苏宁云计算有限公司; 苏宁云商集团股份有限公司","深圳市云网万店电子商务有限公司; 苏宁云计算有限公司","G06F16/953"
"张圣坤","深圳市凯东泰贸易有限公司","G06F3/0354; A61L2/10; A61L2/238"
"TCL移动通信科技(宁波)有限公司; 申淑香; 厦门靠谱知识产权服务有限公司; TCL通讯(宁波)有限公司","TCL通讯(宁波)有限公司; 中鹏兴玥软件开发有限公司; 申淑香; 厦门靠谱知识产权服务有限公司","G06F13/26; G06F13/42"
"统一有限责任两合公司; 统一专利有限责任两合公司; 铃盛IP控股公司","统一专利有限责任两合公司; 铃盛IP控股公司; 铃盛公司","H04L29/06; H04L29/12"
"西安智财全技术转移中心有限公司; 嘉兴芸诗娇电子商务有限公司; 浙江理工大学","嘉兴芸诗娇电子商务有限公司; 西安智财全技术转移中心有限公司","G06T7/215; G06T7/277; G06T7/285; G06K9/62"
"西北工业大学","西北工业大学; 西安爱生技术集团公司","G06T5/50; G06T5/10"
"常州轻工职业技术学院","江苏常无通信技术有限公司","H04L12/40; H04L29/06; H04L29/08"
"章程","大连天眼网络有限公司","G06F1/18; G06F1/20; G06F21/70"
"英业达股份有限公司","苏州夏洛特智能科技有限公司","H04L29/08; H04L12/24"
"浙江省电力试验研究院; 南京南瑞继保电气有限公司","浙江省电力公司电力科学研究院; 南京南瑞继保电气有限公司国家电网公司","G06F17/50"
"华为技术有限公司","张莉","H04L12/24; H04L12/00"
"努比亚技术有限公司","安徽中铁施封锁有限公司","G06F3/041; G06F3/0488"
"郭志忠","佛山创意产业园投资管理有限公司","G06K7/10; B65G1/04; B65G1/137"
