"时期","edges","geo_prox","mutual","gwesp","节点数","边数"
"2001-2010（萌芽期）",-6.66800405777945,0.527827343801408,4.16061655016008,NA,389,230
"2011-2017（发展期）",-5.90334787570786,1.19462032711042,-Inf,NA,168,91
"2018-2024（爆发期）",-4.78368276984914,0.908783165309867,2.69750492508547,NA,51,29
