主体ID,degree,in_degree,out_degree,betweenness,eigenvector,k_core
2256355安大略有限公司; 岩星比德科有限公司; 北方电讯网络有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
捷讯研究有限公司; 2256355安大略有限公司; 岩星比德科有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
248固态硬碟有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
晶先锋科技有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
2付有限责任公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
2付科学研究实验室,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
3311148诺维亚斯科西亚有限公司; 莫雷加系统股份有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
AT&T知识产权一部有限合伙公司; 3311148诺维亚斯科西亚有限公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
360度网络有限公司; 郭钦,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
美国凹凸微系有限公司,2.5992479509261986e-05,8.664159836420662e-06,1.7328319672841323e-05,0.0,2.407435917941641e-05,1
360度网络股份有限公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
"3Com公司; 惠普发展公司, 有限责任合伙企业; 惠普有限公司",8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
"惠普发展公司, 有限责任合伙企业; 惠普公司; 慧与发展有限责任合伙企业",2.5992479509261986e-05,2.5992479509261986e-05,0.0,0.0,6.534468920127312e-05,1
3D康奈克申公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
公民社会 伽利略2011,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,2.407435917941641e-05,1
3M创新有限公司,6.064911885494463e-05,1.7328319672841323e-05,4.3320799182103306e-05,0.0,4.4709524190344765e-05,1
帕泰公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,0.00012725018423405816,1
康宁研究与开发公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,0.00012725018423405816,1
米德马克公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,0.00012725018423405816,1
纽奥奇公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,0.00012725018423405816,1
舒万诺知识产权公司,8.664159836420662e-06,8.664159836420662e-06,0.0,0.0,0.00012725018423405816,1
3M瑞典公司,8.664159836420662e-06,0.0,8.664159836420662e-06,0.0,3.4391941684880583e-06,1
