变量,泊松回归系数
k_core,0.1731927279938913
主体类型_高校/科研,0.12811334016130893
in_degree,0.03630219970775597
degree,0.01852803986654698
省份_安徽,-0.013972861958731068
out_degree,0.009017602606855682
省份_湖北,0.00884974026990563
省份_湖南,-0.008467730210111919
省份_四川,-0.008425269185387252
eigenvector,-0.007965495725678682
省份_浙江,-0.007681217190167306
省份_广西,-0.007068676044735416
省份_内蒙古,-0.006771091571097483
省份_陕西,0.00659777585651367
主体类型_其他,0.006371215290744788
省份_广东,-0.005773979642561073
省份_河北,-0.005000228935661191
省份_重庆,-0.004995252692165678
betweenness,0.0047116418598809814
省份_西藏,-0.004660645436581893
省份_甘肃,-0.004478248418949224
省份_河南,-0.004308585242827562
省份_北京,0.003742373306777654
省份_云南,0.0025911340599893053
省份_海南,-0.0023739929570367932
省份_吉林,-0.00218465697463055
省份_贵州,-0.00215182649983812
省份_辽宁,-0.002114794731408511
省份_天津,0.002054110873864172
省份_江西,-0.0020061609087741895
省份_黑龙江,-0.0019433465909732743
省份_新疆,-0.0017643164837573898
省份_山西,-0.0014783560769153763
省份_其他,-0.0011959610721173507
省份_江苏,-0.0009285366313306036
省份_青海,0.0007153023604219073
省份_山东,-0.0006837121583974327
省份_宁夏,-0.0002566707458092018
省份_福建,0.00016404526564276474
