"时期","edges","tech_sim","mutual","gwesp","节点数","边数"
"2001-2010（萌芽期）",-5.86037749188299,0.667871013233187,3.24422500622655,NA,241,219
"2011-2017（发展期）",-6.00225446454263,1.27612196704292,3.39884257469277,NA,242,216
"2018-2024（爆发期）",-5.68680802306458,0.419893598084327,3.86598771110856,NA,235,252
