"转让人","受让人","申请人地区","受让人地址","转让人省份","受让人省份"
"北京鑫紫竹兴业医疗器械股份有限公司; 上海瀚达医疗器械有限公司","赫美康健(北京)医疗器械有限公司; 北京鑫紫竹兴业医疗器械股份有限公司","上海","102600 北京市大兴区中关村科技园区大兴生物医药产业基地春林大街16号2幢四层A区、401、402、403室; 100089 北京市海淀区花园东路10号33幢四层410号","上海","10"
"采埃孚汽车科技(上海)有限公司","采埃孚亚太汽车安全系统(上海)有限公司","上海","201814 上海市嘉定区宝安公路4268号","上海","20"
"四川虹美智能科技有限公司","长虹美菱日电科技有限公司","四川","528400 广东省中山市南头镇同济西路2号之一","四川","52"
"中南大学","中南大学; 长沙矿冶研究院有限责任公司","湖南","410083 湖南省长沙市岳麓区麓山南路932号","湖南","41"
"北京知产汇科技有限公司; 重庆邮电大学","北京嫡麓设计咨询有限公司; 北京知产汇科技有限公司","重庆","100000 北京市海淀区杏石口路甲23号3号楼2层2209; 102400 北京市房山区天星街1号院10号楼8层810","重庆","10"
"四川新环佳科技发展有限公司","上海瀚正信息科技股份有限公司","四川","200120 中国(上海)浦东新区自由贸易试验区张衡路666弄2号408室","四川","20"
"包赛花","厦门丝柏科技有限公司","福建","361006 福建省厦门市湖里区华昌路132号C2楼4K-4S单元","福建","36"
"广东卓柏信息科技有限公司","武汉雪桥科技有限公司","广东","430312 湖北省武汉市黄陂区盘龙城经济开发区宋岗东路以西, 庆云路以南汉江宏信·尚璟瑞府二期一区16栋1单元7层(2)室","广东","43"
"北京工业大学","深圳市联英达科技有限公司","北京","518100 广东省深圳市龙华新区大浪街道高丰社区华达路兴强大厦B栋2楼厂房","北京","51"
"发明之家(北京)科技有限公司; 南京邮电大学盐城大数据研究院有限公司; 深圳百广科科技有限公司; 佛山市润千宇知识产权服务有限公司","深圳百广科科技有限公司; 佛山市润千宇知识产权服务有限公司; 江苏加数度科技有限公司","北京","518000 广东省深圳市罗湖区南湖街道嘉北社区人民南路3005号深房广场B3403G076; 528012 广东省佛山市禅城区祖庙街道福宁路213号一座写字楼2103室G001(住所申报); 210019 江苏省南京市建邺区贤坤路60号05幢1202室","北京","51"
"陈贤兴","利尔达科技有限公司","浙江","310011 浙江省杭州市拱墅区登云路425号","浙江","31"
"广东电子工业研究院有限公司","广东凌康科技有限公司","广东","523000 广东省东莞市南城区高盛科技园F座2楼","广东","52"
"北京开疆智能自动化科技有限公司","北京开疆智能技术有限公司","北京","100071 北京市丰台区航丰路8号院1号楼1层A区10号(集群注册)","北京","10"
"滨州学院; 王忠林","四川大学","四川","610065 四川省成都市一环路南一段24号","四川","61"
"北京优纳医疗科技有限公司","苏州优纳医疗器械有限公司","北京","215129 江苏省苏州市高新区泰山路2号27号厂房西","北京","21"
"青岛黑晶信息技术有限公司","北京黑晶科技有限公司","山东","100083 北京市海淀区清华东路15号1层118室","山东","10"
"西安电子科技大学","苏州工业园区广程通信技术有限公司","陕西","215124 江苏省苏州市苏州工业园区通园路菜茵花园ca-10","陕西","21"
"深圳市物联云信息技术有限公司","深圳市每开创新科技有限公司","广东","518000 广东省深圳市南山区粤海街道高新区社区高新南环路42号北邮科技大厦1002","广东","51"
"上海鼎泰匠芯科技有限公司","上海鼎泰匠芯科技有限公司; 上海亿持智能科技有限公司","上海","200135 上海市浦东新区自由贸易试验区临港新片区江山路2699弄13号5层","上海","20"
"莫雪华","陕西中工国杰科技有限公司","陕西","710004 陕西省西安市新城区北新街88号红星七贤府1幢1单元1层104室","陕西","71"
"冯仙武","刘宝鑫","山东","250000 山东省济南市历城区临港街道办事处曹官庄村265号","山东","25"
"深圳神目信息技术有限公司","深圳中维神目科技有限公司","广东","518000 广东省深圳市龙岗区坂田街道岗头社区天安云谷产业园一期3栋ABCD座A1201","广东","51"
"塞舌尔商元鼎音讯股份有限公司","原相科技股份有限公司",NA,"中国台湾新竹科学工业园区新竹县创新一路5号5楼","Unknown","中国"
"安徽建筑大学","合肥华宇智航动力能源有限公司","安徽","230088 安徽省合肥市高新区柏堰科技园秋菊路33号2号厂房","安徽","23"
